der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
das Familieneinkommen, -	family income / дохід сім'ї | Als Softwareentwickler trägt er den größten Teil zum Familieneinkommen bei.
der Gehaltsnachweis, -e	proof of salary/income / довідка про доходи | Der Vermieter verlangt die Gehaltsnachweise der letzten drei Monate.
gemeinsam	together, common / разом, спільний | Wir suchen gemeinsam mit meiner Frau nach einer größeren Wohnung.
die Immobilie, -n	real estate, property / нерухомість | Als Senior Developer möchte er später in eine eigene Immobilie investieren.
der Makler, - / die Maklerin, -nen	real estate agent, broker / маклер, брокер, рієлтор | Der Makler hat mir eine tolle Wohnung in der Nähe des IT-Büros gezeigt.
die Mietschulden (Pl.)	rent arrears, rent debts / борги з оренди | Zum Glück habe ich ein gutes IT-Gehalt und absolut keine Mietschulden.
mühsam	arduous, laborious / важкий, виснажливий | Die Suche nach einer bezahlbaren Wohnung ist in Großstädten oft sehr mühsam.
angemessen	appropriate, reasonable / відповідний, доречний, належний | Ein angemessenes Gehalt ist für Senior Developer sehr wichtig.
der Arbeitgeberverband, "-e	employers' association / спілка роботодавців | Der Arbeitgeberverband verhandelt auch über IT-Tarifverträge.
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt)	to negotiate / домовлятися, вести переговори | Ich konnte im Interview mehr Urlaubstage aushandeln.
der Bescheid, -e	decision, notification / відповідь, рішення, повідомлення | Ich warte noch auf den Bescheid nach dem technischen Interview.
Bescheid bekommen (bekommt, bekam, hat bekommen)	to be informed, to receive notice / отримати повідомлення / відповідь | Sie werden nächste Woche Bescheid bekommen, ob wir Sie einstellen.
die Bezahlung, -en	payment, pay / оплата | Die Bezahlung in diesem Tech-Startup ist überdurchschnittlich gut.
die Eigenverantwortung (Sg.)	personal responsibility / особиста відповідальність | Agile Teams arbeiten mit sehr viel Eigenverantwortung.
das Einstiegsgehalt, "-er	starting salary / початкова зарплата | Das Einstiegsgehalt für Junior Frontend Developer ist gestiegen.
die Firmenzentrale, -n	headquarters / головний офіс, штаб-квартира | Die Firmenzentrale unseres Software-Unternehmens ist in München.
der Freizeitausgleich (Sg.)	compensatory time off / компенсація вільного часу (відгул за перепрацювання) | Für das Wochenende-Release am Server bekomme ich Freizeitausgleich.
die Gewerkschaft, -en	trade union / профспілка | Die Gewerkschaft setzt sich für bessere Arbeitsbedingungen ein.
inklusive	inclusive, including / включно, у тому числі | Das Gehalt ist inklusive eines Budgets für Weiterbildungen.
die Mess- und Analysetechnik, -en	measurement and analysis technology / вимірювальна та аналітична техніка | Wir entwickeln Software für die Mess- und Analysetechnik.
mittelständisch	medium-sized / середній (про бізнес) | Ich arbeite lieber in einem mittelständischen IT-Unternehmen als im Großkonzern.
das Motiv, -e	motive, reason / мотив, причина | Was war Ihr Motiv, sich bei uns als Entwickler zu bewerben?
nach Tarif zahlen (zahlt, zahlte, hat gezahlt)	to pay according to the collective agreement / платити за тарифною сіткою | Viele große Tech-Konzerne in Deutschland zahlen nach Tarif.
der Personalverantwortliche, -n / die Personalverantwortliche, -n	HR manager, person responsible for HR / HR-менеджер, відповідальний за персонал | Die Personalverantwortliche schickt mir den Arbeitsvertrag zu.
die Produktpalette, -n	product range / асортимент продукції | Unsere Produktpalette umfasst verschiedene Cloud- und SaaS-Lösungen.
regelmäßig	regular(ly) / регулярний | Wir machen regelmäßig Code-Refactoring, um die Qualität zu halten.
der Tarif, -e	tariff, rate, collective agreement / тариф | Mein Gehalt als Sysadmin richtet sich nach dem aktuellen Tarif.
sich verhalten (verhält sich, verhielt sich, hat sich verhalten)	to behave, to act / поводитися | Beim Vorstellungsgespräch sollte man sich professionell verhalten.
die Verabschiedung (Sg.)	farewell, saying goodbye / прощання | Die Verabschiedung nach dem Interview war sehr freundlich.
das Vertriebsbüro, -s	sales office / офіс продажу | Wir richten ein neues Netzwerk für das Vertriebsbüro ein.
die Anwesenheit (Sg.)	presence, attendance / присутність | Beim Daily Standup ist die Anwesenheit aller Entwickler Pflicht.
der Arbeitsbeginn (Sg.)	start of work / початок роботи | Mein offizieller Arbeitsbeginn ist am 1. September.
der Auswahlprozess, -e	selection process / процес відбору | Der Auswahlprozess für die DevOps-Stelle hat drei Runden.
die Besetzung (einer Stelle) (Sg.)	filling (of a position) / заповнення (вакансії) | Die Besetzung der Senior-Position hat höchste Priorität.
die Betriebsferien (Pl.)	company holidays / корпоративна відпустка (закриття підприємства на свята) | Während der Betriebsferien im Dezember gibt es nur einen Notfall-Support.
die Betriebskantine, -n	company canteen / їдальня на підприємстві | In der Betriebskantine gibt es auch veganes Essen für das Team.
das Bewerbungsverfahren, -	application process / процес подачі заявки / відбору | Das Bewerbungsverfahren läuft komplett digital ab.
der Büroleiter, - / die Büroleiterin, -nen	office manager / офіс-менеджер, керівник офісу | Der Büroleiter kümmert sich um die neuen Laptops für die Entwickler.
durchgehend	continuous(ly), non-stop / безперервний, цілодобовий | Unser Server-Monitoring läuft durchgehend 24/7.
die Einarbeitung (Sg.)	onboarding, training period / онбординг, введення в посаду | Die Einarbeitung in die neue Codebase dauert etwa einen Monat.
der Eindruck, "-e	impression / враження | Ich habe im technischen Interview einen guten Eindruck hinterlassen.
das Einstellungsgespräch, -e	job interview / співбесіда (при прийомі на роботу) | Ich lerne gerade fleißig für mein Einstellungsgespräch bei SAP.
die Einzelheit, -en	detail / деталь, подробиця | Wir müssen noch ein paar technische Einzelheiten der API klären.
sich erkundigen nach (+ Dat.)	to inquire about / дізнаватися про, довідуватися | Ich möchte mich nach dem Stand meiner Bewerbung erkundigen.
der Feierabend (Sg.)	end of the working day / кінець робочого дня | Nach Feierabend spiele ich oft noch Videospiele.
flexibel	flexible / гнучкий | Als Softwareentwickler habe ich sehr flexible Arbeitszeiten.
gesetzlich	legal, statutory / законний, встановлений законом | Der gesetzliche Mindesturlaub in Deutschland beträgt 20 Tage.
die Kündigungsregelung, -en	termination rule/policy / правила звільнення (розірвання договору) | Die Kündigungsregelung steht im letzten Absatz des Arbeitsvertrags.
der ÖPNV (Öffentlicher Personennahverkehr) (Sg.)	public transport / громадський транспорт | Das Büro hat eine sehr gute Anbindung an den ÖPNV.
der Schichtbetrieb (Sg.)	shift operation, shift work / позмінна робота | Das Rechenzentrum läuft im Schichtbetrieb, um Ausfälle zu vermeiden.
die Teambesprechung, -en	team meeting / командна нарада | Wir planen den nächsten Sprint in der Teambesprechung.
der Urlaubsanspruch, "-e	leave entitlement, right to vacation / право на відпустку | Mein Urlaubsanspruch beträgt 30 Tage pro Jahr.
(gut/schlecht) verlaufen (verläuft, verlief, ist verlaufen)	to go (well/badly) / проходити (добре/погано) | Das Code-Review ist heute sehr gut verlaufen.
sich etw. verschaffen (z. B. einen Eindruck) (verschafft sich, verschaffte sich, hat sich verschafft)	to obtain, to gain (e.g., an impression) / здобути, отримати (напр., враження) | Ich muss mir erst einen Überblick über den alten Code verschaffen.
der Zuschuss, "-e	subsidy, grant, allowance / доплата, субсидія, допомога | Die Firma zahlt einen Zuschuss für das Ticket des ÖPNV.
etw. antreten (z. B. eine Stelle) (tritt an, trat an, hat angetreten)	to take up, to start (e.g., a job) / починати, приступати до (роботи) | Ich werde meine neue Stelle als Fullstack-Developer am Montag antreten.
etw. aushändigen (händigt aus, händigte aus, hat ausgehändigt)	to hand over / вручати, видавати auf руки | Die IT-Abteilung wird dir am ersten Tag den Laptop aushändigen.
der Betriebsrat, "-e	works council / виробнича рада (представник працівників) | Der Betriebsrat hat der neuen Homeoffice-Regelung zugestimmt.
chaotisch	chaotic / хаотичний | Ohne Jira und Scrum war die Projektplanung früher sehr chaotisch.
der Dienstplan, "-e	roster, shift schedule / графік чергувань / роботи | Der Dienstplan für den IT-Support wird wöchentlich aktualisiert.
etw. einplanen (plant ein, plante ein, hat eingeplant)	to schedule, to plan for / планувати, передбачати | Wir müssen genug Zeit für das Testing einplanen.
die Einweisung, -en	instruction, briefing / інструктаж, введення в курс справи | Am ersten Tag bekommst du eine Einweisung in unsere Server-Struktur.
sich erinnern an (+ Akk.) (erinnert sich, erinnerte sich, hat sich erinnert)	to remember / пам'ятати про, згадувати | Ich kann mich nicht an das Admin-Passwort erinnern.
die Hausordnung, -en	house rules / правила внутрішнього розпорядку | Laut Hausordnung darf man keine privaten USB-Sticks verwenden.
der Haustechniker, - / die Haustechnikerin, -nen	building technician, maintenance worker / технік будівлі, завгосп | Der Haustechniker repariert die Klimaanlage im Serverraum.
der Lieferant, -en / die Lieferantin, -nen	supplier / постачальник | Der Lieferant bringt morgen die neuen Monitore.
der Medikamentenschrank, "-e	medicine cabinet / аптечка (шафка для ліків) | Pflaster für kleine Verletzungen findest du im Medikamentenschrank.
der Mitarbeiterausweis, -e	employee ID card / перепустка, посвідчення працівника | Du brauchst deinen Mitarbeiterausweis, um das Büro zu betreten.
die Pausenregelung, -en	break regulation / правила щодо перерв | Die Pausenregelung ist bei uns sehr flexibel.
die Personalabteilung, -en	HR department / відділ кадрів (HR) | Bitte sende deine Krankmeldung an die Personalabteilung.
die Pflegedienstleitung, -en	nursing management / керівництво служби догляду | Wir programmieren ein Verwaltungstool für die Pflegedienstleitung.
der Stationsleiter, - / die Stationsleiterin, -nen	ward manager (hospital) / завідувач відділення (в лікарні) | Der Stationsleiter nutzt unser neues digitales Patienten-System.
das Unfallrisiko, -risiken	accident risk / ризик нещасного випадку | Lose Kabel auf dem Boden erhöhen das Unfallrisiko im Büro.
die Unterweisung, -en	instruction, training / інструктаж, навчання | Jedes Jahr gibt es eine Pflicht-Unterweisung zum Thema Datenschutz.
das Verbandmaterial, -ien	bandage material, dressings / перев'язувальний матеріал | Das Verbandmaterial liegt im Erste-Hilfe-Kasten in der Küche.
die Willkommensmappe, -n	welcome folder / вітальна папка (для нових співробітників) | In der Willkommensmappe stehen alle wichtigen Infos zum Onboarding.
sich zurechtfinden (findet zurecht, fand zurecht, hat zurechtgefunden)	to find one's way around, to orient oneself / орієнтуватися, розібратися | Es dauert etwas, bis man sich in der großen Codebase zurechtfindet.
die Abschiedsfeier, -n	farewell party / прощальна вечірка | Wir machen eine kleine Abschiedsfeier für den Kollegen, der die Firma verlässt.
der Alarm, -e	alarm / сигналізація, тривога | Das Monitoring-System schlägt Alarm, wenn die CPU überhitzt.
der Anlass, "-e	occasion, reason / привід, нагода | Das erfolgreiche Release ist ein guter Anlass für eine Pizza-Party.
das Antragsformular, -e	application form / бланк заяви | Du musst ein Antragsformular ausfüllen, um einen zweiten Monitor zu bekommen.
etw. aufladen (lädt auf, lud auf, hat aufgeladen)	to charge, to top up / заряджати, поповнювати | Ich muss den Akku meines Firmenlaptops aufladen.
etw. aushängen (hängt aus, hing aus, hat ausgehangen)	to post (a notice) / вивішувати (оголошення) | Der neue Dienstplan wird am schwarzen Brett aushängen.
etw. ausstellen (z. B. einen Parkausweis) (stellt aus, stellte aus, hat ausgestellt)	to issue (e.g., a parking permit) / виписувати, видавати (документ) | Der Empfang wird dir einen Besucherausweis ausstellen.
etw. beantragen (z. B. einen Zuschuss) (beantragt, beantragte, hat beantragt)	to apply for, to request / подавати заяву на, запитувати | Ich möchte Homeoffice-Tage für nächste Woche beantragen.
betrieblich	operational, company-related / виробничий, службовий, корпоративний | Private Nutzung des Firmenlaptops ist aus betrieblichen Gründen verboten.
der Betriebsausflug, "-e	company outing / корпоративна поїздка / екскурсія | Nächsten Monat machen wir einen Betriebsausflug in die Berge.
die Betriebsrente, -n	company pension / корпоративна пенсія | Das IT-Unternehmen bietet als Bonus eine gute Betriebsrente an.
die Betriebsversammlung, -en	staff meeting, company assembly / загальні збори працівників | Auf der Betriebsversammlung präsentiert der CEO die neuen Ziele.
die Betriebszugehörigkeit (Sg.)	length of service with a company / стаж роботи на підприємстві | Nach fünf Jahren Betriebszugehörigkeit bekommt man mehr Urlaubstage.
der Betroffene, -n / die Betroffene, -n	person affected, person concerned / зацікавлена особа, постраждалий | Bei einem Datenleck müssen alle Betroffenen sofort informiert werden.
etw. bezuschussen (bezuschusst, bezuschusste, hat bezuschusst)	to subsidize / субсидіювати, доплачувати | Die firma wird mein Ticket für die öffentlichen Verkehrsmittel bezuschussen.
der Brandfall, "-e	in case of fire / випадок пожежі | Im Brandfall dürfen die Aufzüge nicht benutzt werden.
die Dienstreise, -n	business trip / відрядження | Ich muss nächste Woche auf Dienstreise zum Kunden nach Berlin.
eine Dienstreise antreten	to go on a business trip / відправитися у відрядження | Der Projektmanager muss eine Dienstreise in die USA antreten.
durchschnittlich	average, on average / в середньому, середньостатистичний | Ein Bugfix dauert bei uns durchschnittlich zwei Stunden.
das Firmengelände, -	company grounds, premises / територія компанії | Auf dem gesamten Firmengelände gibt es kostenloses WLAN.
der Firmenparkplatz, "-e	company car park / корпоративна парковка | Die Entwickler haben einen eigenen Firmenparkplatz.
ganztägig	all-day, full-day / на цілий день | Morgen haben wir einen ganztägigen Workshop zu Kubernetes.
die Genehmigung, -en	approval, permit / дозвіл, затвердження | Ich brauche die Genehmigung vom Chef für das Software-Upgrade.
die Ladestation, -en	charging station / зарядна станція | Es gibt eine Ladestation für Elektroautos auf dem Firmenparkplatz.
die Lautsprecheranlage, -n	public address system, PA system / система гучномовців | Eine Durchsage über die Lautsprecheranlage warnt vor dem Feueralarm.
das Nettoeinkommen, -	net income / чистий дохід (нетто) | Mein Nettoeinkommen ist nach Abzug der Steuern immer noch sehr gut.
die Nutzung, -en	use, usage / використання | Die private Nutzung der Test-Server ist strengstens verboten.
der Ruhestand (Sg.)	retirement / вихід на пенсію | Unser Senior-Architekt geht nächstes Jahr in den Ruhestand.
die Sozialleistung, -en	social benefit / соціальна пільга / виплата | Kostenlose Fitnessstudio-Mitgliedschaft ist eine tolle Sozialleistung.
die Telefonbenutzung (Sg.)	telephone usage / користування телефоном | Die private Telefonbenutzung ist im Großraumbüro nicht erwünscht.
üblich	usual, common / звичайний, прийнятий | In agilen Teams ist das Duzen der Kollegen üblich.
etw. untersagen	to prohibit, to forbid / забороняти | Der IT-Sicherheit ist es untersagt, Passwörter im Klartext zu speichern.
der Verwaltungsbereich, -e	administrative area / адміністративний відділ | Der Verwaltungsbereich kümmert sich um die Lizenzen der Software.
die Wertsache, -n	valuable item / цінна річ | Bitte lassen Sie keine Wertsachen offen auf dem Schreibtisch liegen.
der Abstand, "-e	distance, gap / відстань, дистанція | Bitte halten Sie genug Abstand zu den heißen Servern.
aufdringlich	intrusive, pushy / нав'язливий | Zu viele Push-Benachrichtigungen in der App wirken auf die User aufdringlich.
jdn. belästigen (belästigt, belästigte, hat belästigt)	to harass, to bother / турбувати, докучати | Ein Kollege darf dich am Wochenende nicht mit Arbeits-Mails belästigen.
die Distanz (Sg.)	distance / дистанція | Trotz Remote-Work versuchen wir, keine persönliche Distanz im Team aufzubauen.
etw. einhalten (hält ein, hielt ein, hat eingehalten)	to comply with, to keep (e.g., rules/deadlines) / дотримуватися (правил, строків) | Wir müssen die Deadline für das Projekt unbedingt einhalten.
etw. empfinden (empfindet, empfand, hat empfunden)	to feel, to perceive / відчувати, сприймати | Ich empfinde das neue UI-Design als sehr angenehm.
intim	intimate / інтимний, особистий | Gehälter sind in vielen Firmen ein intimes und vertrauliches Thema.
etw./jdm. nahekommen (kommt nahe, kam nahe, ist nahegekommen)	to approach, to come close to / наближатися до | Dieser Lösungsansatz kommt der perfekten Architektur schon sehr nahe.
das Publikum (Sg.)	audience / публіка, аудиторія | Das Publikum bei der Tech-Konferenz war sehr interessiert an meinem Vortrag.
der Referent, -en / die Referentin, -nen	speaker, presenter / доповідач | Der Referent erklärt die Vorteile von maschinellem Lernen.
etw./jdn. respektieren (respektiert, respektierte, hat respektiert)	to respect / поважати | Wir respektieren die verschiedenen Meinungen beim Code-Review.
unangenehm	unpleasant, uncomfortable / неприємний | Es ist unangenehm, dem Kunden einen kritischen Bug beichten zu müssen.
etw./jdn. wahrnehmen (nimmt wahr, nahm wahr, hat wahrgenommen)	to perceive, to notice / сприймати, помічати | Lange Ladezeiten werden von Usern sehr negativ wahrgenommen.
das Arbeitsklima (Sg.)	working atmosphere / робоча атмосфера | Ein gutes Arbeitsklima ist für die Motivation der Entwickler extrem wichtig.
die Atmosphäre (Sg.)	atmosphere / атмосфера | Die Atmosphäre im Team ist nach dem erfolgreichen Release sehr entspannt.
ausreden (lässt ausreden, ließ ausreden, hat ausreden lassen)	to finish speaking / договорити (до кінця) | Bitte lass mich im Daily Standup kurz ausreden.
die Ausstattung, -en	equipment, facilities / обладнання, оснащення | Die technische Ausstattung in unserem Büro (Monitore, Stühle) ist top.
das Beratungsgespräch, -e	consultation, advisory discussion / консультація | Das Beratungsgespräch mit dem IT-Consultant hat uns sehr geholfen.
der Besprechungspunkt, -e	agenda item, point of discussion / пункт обговорення | Der wichtigste Besprechungspunkt heute ist die neue Server-Architektur.
der Bestseller, -	bestseller / бестселер | Dieses Buch über Clean Code ist ein absoluter Bestseller.
die Beteiligung, -en	participation / участь | Die Beteiligung aller Entwickler am Code-Review ist Pflicht.
dadurch, dass	due to the fact that, because / через те, що | Dadurch, dass wir agil arbeiten, können wir Fehler schneller fixen.
effektiv	effective(ly) / ефективний | Wir müssen unsere Meetings kürzer und effektiver gestalten.
die Ergänzung, -en	addition, supplement / доповнення | Ich habe noch eine kurze Ergänzung zum Protokoll von gestern.
etw. erledigen (erledigt, erledigte, hat erledigt)	to complete, to get done / виконувати | Ich muss heute unbedingt noch dieses Jira-Ticket erledigen.
etw. festlegen (legt fest, legte fest, hat festgelegt)	to determine, to set / визначати, встановлювати | Wir müssen die genaue Deadline für das nächste Release festlegen.
die Gelegenheit bieten (bietet, bot, hat geboten)	to offer an opportunity / надавати можливість | Das Projekt bietet die Gelegenheit, neue Cloud-Technologien zu lernen.
die Gesprächsregel, -n	rule of conversation / правило спілкування | Eine wichtige Gesprächsregel im Team ist, einander ausreden zu lassen.
etw. gestalten (gestaltet, gestaltete, hat gestaltet)	to design, to structure / оформлювати, структурувати | Der Designer hilft uns, das UI der App moderner zu gestalten.
sich halten an (+ Akk.) (hält sich, hielt sich, hat sich gehalten)	to stick to, to abide by / дотримуватися (чогось) | Wir müssen uns strikt an die Coding-Guidelines halten.
indem	by (doing something) / тим, що / шляхом | Wir optimieren den Code, indem wir redundante Schleifen entfernen.
die Klarheit, -en	clarity / ясність, чіткість | Bei der API-Dokumentation brauchen wir absolute Klarheit für die User.
Kritik üben	to criticize / критикувати | Im Pull Request üben wir oft konstruktive Kritik am Code.
leiten (leitet, leitete, hat geleitet)	to lead, to manage / керувати | Der Scrum Master wird das heutige Meeting leiten.
das Meeting, -s	meeting / мітинг, зустріч | Das wöchentliche Entwickler-Meeting beginnt um 10 Uhr.
das Prospektmaterial, -ien	brochures, promotional material / рекламні матеріали | Das Marketing erstellt neues Prospektmaterial für unsere Software.
das Protokoll, -e	protocol, minutes / протокол, лог | Wer schreibt heute das Protokoll für die Teambesprechung?
der Stand (Sg.)	status, state / стан | Können Sie mir bitte den aktuellen Stand der Entwicklung mitteilen?
die Tagesordnung, -en	agenda / порядок денний | Der nächste Punkt auf der Tagesordnung ist das Datenbank-Update.
der Tagesordnungspunkt, -e	agenda item / пункт порядку денного | Welcher Tagesordnungspunkt im Sprint Planning ist am wichtigsten?
die Teambesprechung, -en	team meeting / командна нарада | In der Teambesprechung verteilen wir die Aufgaben für die Woche.
die Teamsitzung, -en	team meeting / командне засідання | Die Teamsitzung findet ab jetzt immer im Konferenzraum statt.
verfassen (verfasst, verfasste, hat verfasst)	to write, to draft / складати, писати | Ich muss noch die Release Notes für das neue Update verfassen.
der Verkaufsberater, - / die Verkaufsberaterin, -nen	sales consultant / продавець-консультант | Der Verkaufsberater präsentiert dem Kunden unser CRM-System.
abraten von (+ Dat.) (rät ab, riet ab, hat abgeraten)	to advise against / відмовляти від | Ich rate dringend davon ab, diese veraltete Bibliothek zu nutzen.
abwesend	absent / відсутній | Zwei Entwickler sind heute leider wegen Krankheit abwesend.
anwesend	present / присутній | Glücklicherweise sind alle Projektleiter beim Meeting anwesend.
die Anzeigenkampagne, -n	advertising campaign / рекламна кампанія | Die Anzeigenkampagne für die neue App startet nächste Woche auf LinkedIn.
der Aufbau, -ten	structure, setup / структура, побудова | Der Aufbau der Datenbank muss für mehr Performance optimiert werden.
die Ausstellung, -en	exhibition / виставка | Wir präsentieren unsere VR-Brille auf einer großen Tech-Ausstellung.
jdn. beauftragen (beauftragt, beauftragte, hat beauftragt)	to assign, to commission / доручати | Wir beauftragen eine externe Agentur mit dem Penetration-Test.
das Beratungsprotokoll, -e	consultation protocol / протокол консультації | Das Beratungsprotokoll fasst die Wünsche des Kunden detailliert zusammen.
Druck machen (macht, machte, hat gemacht)	to put pressure on / тиснути | Der Kunde macht Druck, weil das Projekt nicht pünktlich fertig wird.
der Einzelhandel (Sg.)	retail / роздрібна торгівля | Wir programmieren ein modernes Kassensystem für den Einzelhandel.
das Ergebnisprotokoll, -e	minutes of results / протокол рішень / результатів | Im Ergebnisprotokoll stehen alle Beschlüsse, die wir getroffen haben.
das Gesprächsprotokoll, -e	minutes of a meeting / протокол бесіди | Ich sende euch das Gesprächsprotokoll nach dem Meeting per E-Mail.
der Gesprächstermin, -e	appointment for a discussion / час бесіди, зустріч | Wir brauchen einen neuen Gesprächstermin mit dem Product Owner.
hilfsbereit	helpful / готовий допомогти | Mein IT-Team ist immer sehr hilfsbereit, wenn ich einen Bug nicht finde.
das Messegespräch, -e	trade fair discussion / розмова на виставці | Das Messegespräch mit dem potenziellen Investor war sehr erfolgreich.
der Messestand, "-e	exhibition stand / виставковий стенд | Unser Startup hat einen kleinen Messestand auf der Web Summit.
die Möbelmesse, -n	furniture fair / меблева виставка | Wir haben unsere 3D-Design-Software auf der Möbelmesse vorgestellt.
die Protokollführung (Sg.)	taking of minutes / ведення протоколу | Die Protokollführung übernimmt heute ausnahmsweise der Praktikant.
der Schwerpunkt, -e	focus, main emphasis / головна увага, акцент | Der Schwerpunkt dieses Sprints liegt ganz klar auf Bugfixes.
der Standaufbau, -ten	stand construction / монтаж стенду | Der Standaufbau auf der IT-Messe dauert meistens zwei Tage.
der Teamleiter, - / die Teamleiterin, -nen	team leader / керівник команди | Mein Teamleiter unterstützt mich bei schwierigen Architektur-Entscheidungen.
der Thermosbecher, -	thermos mug / термокружка | Ich habe immer einen Thermosbecher mit Kaffee neben der Tastatur.
etw. verschenken (verschenkt, verschenkte, hat verschenkt)	to give away / дарувати | Wir verschenken Firmen-Laptops an die Mitarbeiter im Homeoffice.
das Versuchsprotokoll, -e	test protocol/log / протокол випробування | Das Versuchsprotokoll der QA-Abteilung zeigt, dass der Fehler behoben ist.
die Vertriebsabteilung, -en	sales department / відділ збуту | Die Vertriebsabteilung kümmert sich um den Verkauf der Software-Lizenzen.
das Werbegeschenk, -e	promotional gift / рекламний подарунок | USB-Sticks mit Firmenlogo sind ein sehr beliebtes Werbegeschenk.
das Werbevideo, -s	promotional video / рекламний ролик | Das Marketing hat ein cooles Werbevideo für das neue Feature gemacht.
aggressiv	aggressive / агресивний | Aggressives Verhalten wird in unserem agilen Team nicht toleriert.
etw. ansprechen (spricht an, sprach an, hat angesprochen)	to address, to bring up / піднімати питання, заговорювати про | Wir müssen dieses technische Problem dringend im Meeting ansprechen.
der Arbeitsalltag (Sg.)	everyday working life / робочі будні | Git-Merge-Konflikte gehören zum Arbeitsalltag eines jeden Entwicklers.
die Arbeitsatmosphäre (Sg.)	working atmosphere / робоча атмосфера | Eine toxische Arbeitsatmosphäre schadet der Motivation und der Produktivität.
auswirken (wirkt sich aus, wirkte sich aus, hat sich ausgewirkt)	to affect, to have an impact / впливати, позначатися | Dieser Speicher-Bug wird sich extrem negativ auf den Server auswirken.
die Auswirkung, -en	effect, impact / наслідок, вплив | Die Auswirkung des Updates auf die Ladezeit der Seite ist sehr positiv.
etw. beilegen (z. B. einen Streit) (legt bei, legte bei, hat beigelegt)	to settle (e.g. a dispute) / владнати (напр., суперечку) | Wir konnten den Konflikt über das Code-Design schnell beilegen.
der Eindruck, "-e	impression / враження | Mein erster Eindruck von dem neuen Frontend-Framework ist sehr gut.
den Eindruck haben (hat, hatte, hat gehabt)	to have the impression / мати враження | Ich habe den Eindruck, dass die Datenbankanfragen zu langsam sind.
die Du-Botschaft, -en	"you" message (blaming) / "ти-повідомлення" (звинувачення) | Du-Botschaften ("Du hast das kaputt gemacht") führen im Team zu Konflikten.
fehlender Respekt	lack of respect / відсутність поваги | Fehlender Respekt bei Code-Reviews zerstört das Vertrauen im Team.
die Gemeinsamkeit, -en	similarity, common ground / спільна риса, спільність | Wir haben viele Gemeinsamkeiten, zum Beispiel programmieren wir beide in Go.
die Ich-Botschaft, -en	"I" message / "я-повідомлення" | Mit einer Ich-Botschaft ("Ich habe Schwierigkeiten, den Code zu lesen") kritisiert man konstruktiver.
der Kompromiss, -e	compromise / компроміс | Wir haben einen technischen Kompromiss für das API-Design gefunden.
Kompromisse eingehen (geht ein, ging ein, ist eingegangen)	to make compromises / йти на компроміси | Manchmal muss man bei der Performance kleine Kompromisse eingehen.
der Konflikt, -e	conflict / конфлікт | Es gab einen kleinen Konflikt wegen des abgelehnten Pull-Requests.
das Konfliktgespräch, -e	conflict resolution discussion / розмова для вирішення конфлікту | Der Scrum Master führt ein Konfliktgespräch mit den zwei Entwicklern.
kooperativ	cooperative / схильний до співпраці, кооперативний | Unser Team arbeitet sehr kooperativ und teilt das Wissen gerne.
der Leistungsdruck (Sg.)	pressure to perform / тиск щодо продуктивності (стрес) | Kurz vor dem App-Release ist der Leistungsdruck extrem hoch.
Lösungen erarbeiten (erarbeitet, erarbeitete, hat erarbeitet)	to develop solutions / розробляти рішення | Wir müssen gemeinsam neue Lösungen für dieses Server-Problem erarbeiten.
lüften (lüftet, lüftete, hat gelüftet)	to air, to ventilate / провітрювати | Nach zwei Stunden Meeting müssen wir den Raum unbedingt lüften.
die Meinungsverschiedenheit, -en	difference of opinion / розбіжність у поглядах | Es gab eine Meinungsverschiedenheit über die Wahl der richtigen Datenbank.
das Missverständnis, -se	misunderstanding / непорозуміння | Ein unklarer Variablenname im Code führt oft zu einem Missverständnis.
etw. nachvollziehen (vollzieht nach, vollzog nach, hat nachvollzogen)	to comprehend, to understand / розуміти, осягати | Ich kann deinen Lösungsansatz für den Algorithmus absolut nachvollziehen.
der Neid (Sg.)	envy / заздрість | Neid auf das höhere Gehalt der Kollegen ist unprofessionell.
nervig	annoying / дратівливий, набридливий | Dieser wiederkehrende Bug im Frontend ist wirklich sehr nervig.
der Respekt (Sg.)	respect / повага | Gegenseitiger Respekt ist die absolute Basis für erfolgreiches Pair-Programming.
die Rivalität, -en	rivalry / суперництво | Eine gesunde Rivalität zwischen Entwicklern kann das Projekt beschleunigen.
sachlich	objective, factual / об'єктивний, по суті | Bitte bleib bei der Code-Kritik immer sachlich und nicht emotional.
die Spannung, -en	tension / напруга | Kurz vor der wichtigen Deadline gibt es oft Spannungen im Team.
stickig	stuffy / задушливий | Die Luft im kleinen Serverraum ohne Klimaanlage ist sehr stickig.
die Strategie, -n	strategy / стратегія | Unsere Deployment-Strategie muss überarbeitet werden.
der Streit, -igkeiten	argument, dispute / суперечка | Der Streit um die "beste" Programmiersprache im Büro ist völlig sinnlos.
die Überstunde, -n	overtime / понаднормова робота | Um den Bug zu fixen, musste ich gestern leider Überstunden machen.
die Umgangsform, -en	manner, etiquette / манера поведінки | Gute Umgangsformen sind auch bei Remote-Arbeit im Slack-Chat wichtig.
unerträglich	unbearable / нестерпний | Die Hitze im unklimatisierten IT-Büro war im Sommer unerträglich.
unpünktlich	unpunctual, late / непунктуальний | Es stört das Team, wenn jemand beim Daily Meeting unpünktlich ist.
