die Abteilung, -en	department / відділ
sich anpassen an (+ Akk.) (passt sich an, passte sich an, hat sich angepasst)	to adapt to / пристосовуватися до, адаптуватися до
der Arbeitsberater, - / die Arbeitsberaterin, -nen	employment counselor / консультант з працевлаштування
die Arbeitsteilung (Sg.)	division of labor / розподіл праці
die Arbeitswelt (Sg.)	working world / світ праці, робоче середовище
aufgrund von (+ Dat.)	due to, based on / на підставі, через
die Bedeutung, -en	meaning, significance / значення, важливість
sich behaupten (behauptet sich, behauptete sich, hat sich behauptet)	to assert oneself, to hold one's own / зарекомендувати себе, відстоювати свої позиції
der Berufsweg, -e	career path / кар'єрний шлях
die Digitalisierung (Sg.)	digitalization / цифровізація
sich einstellen auf (+ Akk.) (stellt sich ein, stellte sich ein, hat sich eingestellt)	to prepare for, to adjust to / налаштовуватися на, готуватися до
erforderlich	required, necessary / необхідний
etw. erwerben (erwirbt, erwarb, hat erworben)	to acquire / здобувати (напр. знання, навички)
der Erwerbstätige, -n / die Erwerbstätige, -n	employed person / працюючий, людина, що має оплачувану роботу
der Freiberufler, - / die Freiberuflerin, -nen	freelancer / фрилансер
die Globalisierung (Sg.)	globalization / глобалізація
die Herausforderung, -en	challenge / виклик, складна задача
interkulturelle Kompetenz	intercultural competence / міжкультурна компетенція
der Klimawandel (Sg.)	climate change / зміна клімату
die Kompetenz, -en	competence, skill / компетенція, навичка
modernisieren (modernisiert, modernisierte, hat modernisiert)	to modernize / модернізувати, оновлювати
die Neuorientierung, -en	reorientation / переорієнтація
sich niederlassen (lässt sich nieder, ließ sich nieder, hat sich niedergelassen)	to settle, to establish oneself / осісти, заснувати справу
ökologisch	ecological / екологічний
das Pausengespräch, -e	break conversation / розмова під час перерви
die Technologie, -n	technology / технологія
die Unterbrechung, -en	interruption / перерва, переривання
das Unternehmen, -	company, enterprise / підприємство, компанія
veralten (veraltet, veraltete, ist veraltet)	to become obsolete / outdated / застарівати
vertrauen auf (+ Akk.) (vertraut, vertraute, hat vertraut)	to trust in, to rely on / довіряти, покладатися на
ambulant	outpatient, ambulatory / амбулаторний
das Berufsleben (Sg.)	professional life, career / професійне життя
das Beschwerdemanagement (Sg.)	complaint management / управління скаргами
der Betreuungsdienst, -e	care service, support service / служба догляду (або підтримки)
der Bildungsgutschein, -e	education voucher / ваучер на навчання
bisherig	previous / попередній, нинішній (до цього моменту)
eingehende Post	incoming mail / вхідна пошта
die Fachkraft, "-e	skilled worker, specialist / кваліфікований спеціаліст
die Fördermöglichkeit, -en	funding opportunity / можливість фінансування
geeignet für (+ Akk.)	suitable for / придатний для, підходящий
die Haushaltsführung, -en	household management / ведення домашнього господарства
die Hilfskraft, "-e	assistant, helper / помічник, допоміжний персонал
die Kenntnis, -se	knowledge / знання
Kenntnisse erwerben	to acquire knowledge / здобувати знання
die Lagerliste, -n	inventory list, stock list / складський список
der Lagerlogistiker, - / die Lagerlogistikerin, -nen	warehouse logistician / спеціаліст зі складської логістики
der Lehrplan, "-e	curriculum / навчальний план
der Pflegedienst, -e	nursing service / служба догляду
die Pflegeeinrichtung, -en	care facility / заклад догляду
die Pflegekraft, "-e	caregiver, nurse / медпрацівник, доглядальник
das Pflegezertifikat, -e	care certificate / сертифікат з догляду
das Präsenzseminar, -e	in-person seminar / очний семінар
der Produktionshelfer, - / die Produktionshelferin, -nen	production assistant / помічник на виробництві
sich qualifizieren (qualifiziert sich, qualifizierte sich, hat sich qualifiziert)	to qualify oneself / кваліфікуватися, підвищувати кваліфікацію
die Sachkenntnis, -se	expertise, factual knowledge / експертність, професійні знання
etw. vermitteln (vermittelt, vermittelte, hat vermittelt)	to convey, to impart, to mediate / передавати (досвід), посередничати, працевлаштовувати
zur Verfügung stehen	to be available / бути в розпорядженні, бути доступним
die Abfallvermeidung (Sg.)	waste prevention / уникнення відходів
der Anschluss, "-e	connection / підключення, зв'язок
der Bereich, -e	area, field, department / відділ, сфера
die Betriebsbesichtigung, -en	company tour / екскурсія підприємством
das Betriebsgelände (Sg.)	company grounds / територія підприємства
etw. einführen (führt ein, führte ein, hat eingeführt)	to introduce, to implement / впроваджувати, запроваджувати
die Energieeinsparung, -en	energy saving / енергозбереження
der Entscheidungsspielraum, "-e	scope for decision-making / свобода прийняття рішень
etw. eröffnen (eröffnet, eröffnete, hat eröffnet)	to open / відкривати
die Eröffnung, -en	opening / відкриття
die Erschließung (Sg.) (z. B. neuer Märkte)	development, opening up / освоєння (наприклад, нових ринків)
etw. erweitern (erweitert, erweiterte, hat erweitert)	to expand / розширювати
die Fertigstellung (Sg.)	completion / завершення, готовність
die Filiale, -n	branch, subsidiary / філія, відділення
eine flache Hierarchie	a flat hierarchy / плоска ієрархія (мало рівнів керівництва)
das Geschäftsjahr, -e	financial year / фінансовий рік
das Gründungsdatum, -daten	founding date / дата заснування
die Hierarchie, -n	hierarchy / ієрархія
im Anschluss an (+ Akk.)	following, subsequent to / після, услід за (чимось)
das Mitspracherecht, -e	right to have a say / право голосу
nachhaltig	sustainable / сталий, екологічний
etw. präsentieren (präsentiert, präsentierte, hat präsentiert)	to present / презентувати
der Pressesprecher, - / die Pressesprecherin, -nen	press spokesperson / прес-секретар
Produkte einführen	to introduce products / впроваджувати / випускати продукти
die Produktionsstätte, -n	production facility / виробниче приміщення, фабрика
der Rundgang, "-e	tour (of a building) / обхід, екскурсія
das Sortiment, -e	assortment, range of products / асортимент
der Standort, -e	location, site / місцезнаходження, локація
die Terminbestätigung, -en	appointment confirmation / підтвердження зустрічі
etw. übernehmen (übernimmt, übernahm, hat übernommen)	to take over, to assume / переймати, брати на себе
der Umsatz, "-e	revenue, turnover / оборот, виручка
die Unternehmensgeschichte, -n	company history / історія компанії
die Verkaufsfläche, -n	sales area / торгова площа
das Verkaufsgespräch, -e	sales talk, sales pitch / комерційна бесіда, переговори про продаж
das Zentrallager, -	central warehouse / центральний склад
das Zweigwerk, -e	branch factory / філія заводу
etw. anordnen (ordnet an, ordnete an, hat angeordnet)	to order, to arrange, to instruct / наказувати, розпоряджатися, впорядковувати
das Controlling (Sg.)	controlling, management accounting / контролінг, фінансове управління
die Finanzabteilung, -en	finance department / фінансовий відділ, бухгалтерія
die Fläche, -n	area, surface / площа
die Forschung & Entwicklung (Sg.)	research & development (R&D) / дослідження та розробка
die Geschäftsleitung, -en	management, executive board / керівництво (компанії)
der Hauptbereich, -e	main area, core department / головний напрямок, основний відділ
die Haustechnik (Sg.)	building services, technical facilities / технічне обслуговування будівлі
die Herstellung (Sg.)	production, manufacturing / виробництво, виготовлення
die Hierarchieebene, -n	hierarchical level / рівень ієрархії
das Lager, -	warehouse, storage / склад
etw. leiten (leitet, leitete, hat geleitet)	to lead, to manage, to head / керувати, очолювати
das Marketing (Sg.)	marketing / маркетинг
die Marktuntersuchung, -en	market research / дослідження ринку
die Mitarbeiterzahl, -en	number of employees / кількість співробітників
die Öffentlichkeitsarbeit (Sg.)	public relations (PR) / зв'язки з громадськістю, PR
das Organigramm, -e	organizational chart / організаційна схема (структура компанії)
das Produktionsverfahren, -	production process / виробничий процес
die Qualitätssicherung (Sg.)	quality assurance (QA) / забезпечення якості (QA)
die Rechtsabteilung, -en	legal department / юридичний відділ
die Spitze, -n	top, peak / верхівка, керівництво
an der Spitze von (+ Dat.)	at the top of, heading / на чолі
untergeordnet	subordinate / підлеглий
untergliedert	subdivided / підрозділений
unterteilt	divided / поділений
die Verkaufsförderung (Sg.)	sales promotion / стимулювання збуту
der Vertrieb (Sg.)	sales, distribution / збут, відділ продажів
die Verwaltung, -en	administration / адміністрація, управління
etw. zuordnen zu (+ Dat.) (ordnet zu, ordnete zu, hat zugeordnet)	to assign to, to allocate to / призначати, відносити, класифікувати
die Zuständigkeit, -en	responsibility, competence / компетенція, сфера відповідальності
die Anrede, -n	form of address / звертання (на початку листа/розмови)
distanzlos	overfamiliar, lack of distance / без дотримання дистанції, фамільярний
das Du (Sg.)	informal "you" / звертання на "ти"
sich duzen (duzt sich, duzte sich, hat sich geduzt)	to be on first-name terms / звертатися на "ти"
der Kompromiss, -e	compromise / компроміс
einen Kompromiss finden	to find a compromise / знайти компроміс
etw./jdn. respektieren (respektiert, respektierte, hat respektiert)	to respect / поважати
das Sie (Sg.)	formal "you" / звертання на "Ви"
sich siezen (siezt sich, siezte sich, hat sich gesiezt)	to be on formal terms / звертатися на "Ви"
jdm. das Du anbieten (bietet an, bot an, hat angeboten)	to offer to use "du" (first-name terms) / запропонувати перейти на "ти"
die Arbeitslosenquote, -n	unemployment rate / рівень безробіття
auffallen (fällt auf, fiel auf, ist aufgefallen)	to stand out, to be noticeable / впадати в око, виділятися
das Baugewerbe (Sg.)	construction industry / будівельна галузь
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet)	to process, to edit / обробляти, редагувати
etw./jdn. beaufsichtigen (beaufsichtigt, beaufsichtigte, hat beaufsichtigt)	to supervise, to oversee / наглядати, контролювати
befristet	temporary, fixed-term / строковий (про договір), тимчасовий
der Beschäftigte, -n / die Beschäftigte, -n	employee / працівник, співробітник
etw./jdn. betreuen (betreut, betreute, hat betreut)	to look after, to support, to manage / обслуговувати, супроводжувати, керувати
die Branche, -n	industry, sector / галузь, сфера
die Dienstleistung, -en	service / послуга
die Finanzbranche (Sg.)	financial sector / фінансовий сектор
der Fluggerätemechaniker, - / die Fluggerätemechanikerin, -nen	aircraft mechanic / авіамеханік
das Gastgewerbe (Sg.)	hospitality industry / готельно-ресторанний бізнес
das Gesundheitswesen (Sg.)	healthcare system / система охорони здоров'я
das Gewerbe (Sg.)	trade, business, industry / промисел, бізнес, підприємництво
die Gleitzeit (Sg.)	flextime, flexible working hours / гнучкий графік роботи
der Handel (Sg.)	trade, commerce / торгівля
das Handwerk (Sg.)	craft, trade / ремесло
hervorgehen aus (+ Dat.) (geht hervor, ging hervor, ist hervorgegangen)	to emerge from, to follow from / випливати з, походити з
das Homeoffice (Sg.)	home office, working from home / робота з дому
Hotel und Gastronomie (Sg.)	hotel and catering industry / готельно-ресторанна сфера
die IT-Branche (Sg.)	IT industry / ІТ-галузь
kaufmännisch	commercial, business / комерційний, торговельний
die Konjunktur (Sg.)	economic situation, boom / економічна ситуація, кон'юнктура
die Lagerlogistik (Sg.)	warehouse logistics / складська логістика
die Land- und Forstwirtschaft (Sg.)	agriculture and forestry / сільське та лісове господарство
etw. nahelegen (legt nahe, legte nahe, hat nahegelegt)	to suggest (e.g., a conclusion) / наводити на думку, підказувати
das Pflegeheim, -e	nursing home / будинок престарілих
produzierendes Gewerbe	manufacturing industry / виробнича промисловість
die Reservierung, -en	reservation / бронювання
die Schichtarbeit (Sg.)	shift work / позмінна робота
der Server, -	server / сервер
sozialversicherungspflichtig	subject to social security contributions / який підлягає соціальному страхуванню
stabil	stable / стабільний
die Teilzeit (Sg.)	part-time / неповний робочий день
etw. überwachen (überwacht, überwachte, hat überwacht)	to monitor, to supervise / контролювати, здійснювати моніторинг
etw. verwalten (verwaltet, verwaltete, hat verwaltet)	to manage, to administer / управляти, адмініструвати
die Vollzeit (Sg.)	full-time / повний робочий день
der Vollzeitjob, -s	full-time job / робота на повний робочий день
etw. warten (z. B. eine Maschine) (wartet, wartete, hat gewartet)	to maintain (e.g., equipment) / обслуговувати технічно
die Wirtschaftsbranche (Sg.)	economic sector / економічна галузь
etw. zubereiten (bereitet zu, bereitete zu, hat zubereitet)	to prepare (food) / готувати (їжу)
die Zuverlässigkeit (Sg.)	reliability / надійність
etw./jdn. abfertigen (fertigt ab, fertigte ab, hat abgefertigt)	to dispatch, to process, to handle / обслуговувати, оформляти
die Arbeitsstätte, -n	workplace, place of work / робоче місце
etw. beschreiben (beschreibt, beschrieb, hat beschrieben)	to describe / описувати
etw. betreiben (betreibt, betrieb, hat betrieben)	to operate, to run / експлуатувати, керувати
das Bodenpersonal (Sg.)	ground staff / наземний персонал
der Check-in (Sg.)	check-in / реєстрація
jdn. einstellen (stellt ein, stellte ein, hat eingestellt)	to hire, to employ / наймати на роботу
der Einzelhandel (Sg.)	retail / роздрібна торгівля
etw. erweitern (erweitert, erweiterte, hat erweitert)	to expand, to extend / розширювати
der Fluglotse, -n / die Fluglotsin, -nen	air traffic controller / авіадиспетчер
die Flugzeugabfertigung (Sg.)	aircraft handling / наземне обслуговування літаків
die Gepäckabfertigung (Sg.)	baggage handling / обробка багажу
die Gewerkschaft, -en	trade union / профспілка
etw. gründen (gründet, gründete, hat gegründet)	to found, to establish / засновувати
das Handgepäck (Sg.)	hand luggage, carry-on baggage / ручна поклажа
die Hygiene (Sg.)	hygiene / гігієна
die Logistik (Sg.)	logistics / логістика
die Luftfracht (Sg.)	air freight, air cargo / авіаперевезення, авіавантаж
der Passagier, -e / die Passagierin, -nen	passenger / пасажир
der Quereinsteiger, - / die Quereinsteigerin, -nen	career changer / світчер, людина, що змінила професію
die Spedition, -en	freight forwarding company / експедиторська компанія, служба доставки
etw. umbauen (baut um, baute um, hat umgebaut)	to rebuild, to modify / перебудовувати, реконструювати, переробляти
etw. umfassen (umfasst, umfasste, hat umfasst)	to include, to comprise / охоплювати, включати
etw./jdn. vertreten (vertritt, vertrat, hat vertreten)	to represent, to substitute / представляти, заміняти (когось)
das Arbeitsmittel, -	work equipment, tool / засіб праці, робочий інструмент
der Arbeitsschutz (Sg.)	occupational safety, health and safety / охорона праці
etw. befolgen (befolgt, befolgte, hat befolgt)	to follow, to obey / дотримуватися, виконувати (правила)
etw./jdn. behindern (behindert, behinderte, hat behindert)	to hinder, to obstruct / перешкоджати, заважати
etw. betätigen (z. B. den Brandmelder) (betätigt, betätigte, hat betätigt)	to operate, to press / приводити в дію, натискати
der Brandmelder, -	fire alarm, smoke detector / пожежний сповіщувач
der Brandschutz (Sg.)	fire protection / пожежна безпека
das Brandschutzzeichen, -	fire safety sign / знак пожежної безпеки
dreieckig	triangular / трикутний
etw. einschlagen (schlägt ein, schlug ein, hat eingeschlagen)	to smash, to break in / розбивати (скло)
etw. entsorgen (entsorgt, entsorgte, hat entsorgt)	to dispose of / утилізувати
der Feuerlöscher, -	fire extinguisher / вогнегасник
der Feuermelder, -	fire alarm / пожежна сигналізація
der Flucht- und Rettungsweg, -e	escape and rescue route / шлях евакуації
etw. freihalten (hält frei, hielt frei, hat freigehalten)	to keep clear / тримати вільним (прохід)
das Gebotszeichen, -	mandatory sign / приписний знак (обов'язкова дія)
die Glasscheibe, -n	glass pane / шибка, скляна панель
hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen)	to point out, to refer to / вказувати на
das Hinweisschild, -er	information sign / інформаційна табличка
etw. löschen (löscht, löschte, hat gelöscht)	to extinguish (fire), to delete (data) / гасити (пожежу), видаляти (дані)
der Notausgang, "-e	emergency exit / аварійний вихід
die Pflicht, -en	duty, obligation / обов'язок
quadratisch	square / квадратний
das Rettungszeichen, -	rescue sign, emergency sign / знак евакуації/порятунку
die Schutzausrüstung, -en	protective equipment / захисне спорядження
die Schutzbrille, -n	safety goggles / захисні окуляри
etw./jdn. schützen (schützt, schützte, hat geschützt)	to protect / захищати
der Schutzhelm, -e	safety helmet, hard hat / захисний шолом, каска
der Sicherheitshinweis, -e	safety instruction/warning / вказівка щодо безпеки
der Sicherheitsschuh, -e	safety shoe / захисне взуття
die Sicherheitsvorschrift, -en	safety regulation / правило техніки безпеки
die Stolpergefahr, -en	tripping hazard / небезпека спотикання
die Straßenverkehrsordnung (Sg.)	traffic regulations / правила дорожнього руху
das Verbotsschild, -er	prohibition sign / заборонний знак
das Verbotszeichen, -	prohibition sign / заборонний знак
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати
die Verordnung, -en	regulation, decree / постанова, розпорядження
verpflichtet	obliged, bound / зобов'язаний
etw. verstauen (verstaut, verstaute, hat verstaut)	to stow, to store / ховати, укладати, зберігати
das Warnzeichen, -	warning sign / попереджувальний знак
der Ablauf, "-e	process, sequence, flow / процес, хід подій
arbeitsunfähig	incapable of working, unfit for work / непрацездатний
ausrutschen (rutscht aus, rutschte aus, ist ausgerutscht)	to slip / посковзнутися
die Berufsgenossenschaft, -en	employers' liability insurance association / профспілка страховиків від нещасних випадків на виробництві
beteiligt an (+ Dat.)	involved in / причетний до, бере участь у
das Detail, -s	detail / деталь, подробиця
das Ereignis, -se	event, occurrence / подія
glatt	smooth, slippery / гладкий, слизький
das Kabel, -	cable, wire / кабель, провід
sich (etw.) quetschen (quetscht sich, quetschte sich, hat sich gequetscht)	to squeeze, to bruise (oneself) / защемити (собі щось), прищемити
Ruhe bewahren	to keep calm / зберігати спокій
rutschig	slippery / слизький
sachlich	factual, objective / об'єктивний, предметний
der Schaden, "-	damage, harm / шкода, збиток
etw. schildern (schildert, schilderte, hat geschildert)	to describe, to depict / описувати, змальовувати
der Schlauch, "-e	hose, tube / шланг
stolpern	to stumble, to trip / спотикатися
sich (etw.) verbrennen (verbrennt, verbrannte, hat verbrannt)	to burn (oneself) / обпектися
das Verhalten (Sg.)	behavior / поведінка
die Vorsichtsmaßnahme, -n	precaution, precautionary measure / запобіжний захід
der Zeuge, -n / die Zeugin, -nen	witness / свідок
etw. behaupten (behauptet, behauptete, hat behauptet)	to claim, to assert / стверджувати
etw./jdn. beobachten	to observe, to monitor / спостерігати, стежити
entscheidend	crucial, decisive / вирішальний
die Geldsorgen (Pl.)	money worries, financial problems / фінансові проблеми
gemütlich	comfortable, cozy / затишний, комфортний
die Geselligkeit (Sg.)	sociability, conviviality / товариськість, компанійність
das Grundbedürfnis, -se	basic need / базова потреба
die Partnerschaft, -en	partnership / партнерство
das Wohlbefinden (Sg.)	well-being / добробут, самопочуття
die Zufriedenheit (Sg.)	satisfaction / задоволеність
der Arbeitsvertrag, "-e	employment contract / трудовий договір
der Aushang, "-e	notice, poster / оголошення, афіша
aussagekräftig	meaningful, expressive / змістовний, переконливий
etw. beinhalten (beinhaltet, beinhaltete, hat beinhaltet)	to contain, to include / містити в собі, охоплювати
das BIZ (Berufsinformationszentrum) (Sg.)	career information center / центр профорієнтації
die Chancengleichheit, -en	equal opportunity / рівні можливості
etw. entwickeln (entwickelt, entwickelte, hat entwickelt)	to develop / розробляти
der (medizinische) Fortschritt (Sg.)	(medical) progress / (медичний) прогрес
ein inklusiver Arbeitsplatz	inclusive workplace / інклюзивне робоче місце
innovativ	innovative / інноваційний
die Jobmesse, -n	job fair / ярмарок вакансій
der Labormitarbeiter, - / die Labormitarbeiterin, -nen	laboratory worker / співробітник лабораторії
die Messmethode, -n	measurement method / метод вимірювання
das Netzwerk, -e	network / мережа
die Online-Jobbörse, -n	online job board / онлайн-біржа праці
das Online-Stellenportal, -e	online job portal / онлайн-портал вакансій
das Pharmaunternehmen, -	pharmaceutical company / фармацевтична компанія
die Qualitätskontrolle, -n	quality control / контроль якості
etw. recherchieren (recherchiert, recherchierte, hat recherchiert)	to research / досліджувати, шукати інформацію
sorgfältig	careful(ly), diligent(ly) / ретельний, акуратний
soziale Netzwerke (Pl.)	social networks / соціальні мережі
die Sozialleistung, -en	social benefit / соціальна виплата, пільга від компанії
die Stellenbörse, -n	job market, job exchange / біржа праці, ринок вакансій
das Stellengesuch, -e	job request, job application / заява про пошук роботи
die Stellensuche (Sg.)	job search / пошук роботи
umfangreich	extensive, comprehensive / об'ємний, великий, розлогий
unbefristet	unlimited, permanent / безстроковий
die Vergütung, -en	compensation, remuneration / оплата праці, винагорода
etw. verlangen (verlangt, verlangte, hat verlangt)	to demand, to require / вимагати
die Voraussetzung, -en	prerequisite, requirement / передумова, вимога
die Webseite, -n	website / вебсайт
zur Verfügung stehen	to be available / бути в розпорядженні, бути доступним
der Abschluss, "-e	degree, graduation / закінчення (навчального закладу), диплом
etw. auswerten (wertet aus, wertete aus, hat ausgewertet)	to evaluate, to analyze / оцінювати, аналізувати
begeistert von (+ Dat.)	enthusiastic about / у захваті від
der Bildungsweg, -e	educational path / освітній шлях, шлях отримання освіти
die Daten (Pl.)	data / дані
etw. dokumentieren (dokumentiert, dokumentierte, hat dokumentiert)	to document / документувати
eigenverantwortlich	independent(ly), responsible / під власну відповідальність, самостійний
die Fähigkeit, -en	ability, skill / навичка, здатність
fehlerfrei	flawless, error-free / безпомилковий
jdn. hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen)	to point out to / вказувати комусь на щось
etw. hinzufügen zu (+ Dat.) (fügt hinzu, fügte hinzu, hat hinzugefügt)	to add to / додавати до
die Kenntnis, -se	knowledge, skill / знання, навичка
die Korrektheit (Sg.)	correctness / правильність, коректність
persönliche Daten (Pl.)	personal data / персональні дані
die Praxis- und Berufserfahrung, -en	practical and professional experience / практичний та професійний досвід
selbstständig	independent, autonomous / самостійний, незалежний
die Stellenausschreibung, -en	job advertisement / оголошення про вакансію
verfügen über (+ Akk.) (verfügt, verfügte, hat verfügt)	to possess, to have at one's disposal / володіти, мати в розпорядженні
vertraut mit (+ Dat.)	familiar with / обізнаний з, знайомий з
die Vollständigkeit (Sg.)	completeness / повнота, цілісність
die Weiterbildung, -en	further education, training / підвищення кваліфікації
die Messung, -en	measurement / вимірювання
reizen (reizt, reizte, hat gereizt)	to appeal to, to tempt / приваблювати, манити
die Rückmeldung, -en	feedback, reply / зворотний зв'язок, відповідь
die Soft Skills (Pl.)	soft skills / м'які навички
die Stärke, -n	strength / сильна сторона
der Versuchsablauf, "-e	test procedure, experimental procedure / хід тестування, експерименту
etw. vertiefen (vertieft, vertiefte, hat vertieft)	to deepen / поглиблювати (напр. знання)
vielfältig	diverse, varied / різноманітний, багатогранний
vollständig	complete(ly) / повний
sich weiterentwickeln (entwickelt sich weiter, entwickelte sich weiter, hat sich weiterentwickelt)	to develop further / розвиватися далі, вдосконалюватися
Wert legen auf (+ Akk.) (legt, legte, hat gelegt)	to attach importance to, to value / надавати значення, цінувати
der Absender, -	sender / відправник
die Anlage, -n	attachment, enclosure / додаток (до листа)
die Anrede, -n	salutation / звертання (в листі)
der Ansprechpartner, - / die Ansprechpartnerin, -nen	contact person / контактна особа
der Aufgabenbereich, -e	area of responsibility / сфера завдань, обов'язків
das Aufgabengebiet, -e	field of activity, scope of duties / сфера діяльності
etw. beantworten (beantwortet, beantwortete, hat beantwortet)	to answer / відповідати на щось
etw. beweisen (beweist, bewies, hat bewiesen)	to prove / доводити
die Bewerbungsunterlagen (Pl.)	application documents / документи для працевлаштування
die Durchführung, -en	execution, implementation / виконання, проведення
sich einarbeiten in (+ Akk.)	to familiarize oneself with / вникати, освоювати, опановувати
die Einleitung, -en	introduction / вступ
der Empfänger, - / die Empfängerin, -nen	recipient / одержувач
engagiert	committed, dedicated / відданий справі, активний
das Fachwissen (Sg.)	expertise, expert knowledge / професійні знання
das Fähigkeitsprofil, -e	skill profile / профіль навичок
etw. fordern (fordert, forderte, hat gefordert)	to demand, to require / вимагати
herausfordernd	challenging / складний, такий, що кидає виклик
leichtfallen (fällt leicht, fiel leicht, ist leichtgefallen)	to be easy (for someone) / даватися легко
einen Termin bestätigen	to confirm an appointment / підтвердити зустріч
überzeugend	convincing / переконливий
unbedingt	absolutely, necessarily / обов'язково, неодмінно
etw. variieren (variiert, variierte, hat variiert)	to vary / варіювати, змінювати
verständlich	understandable, comprehensible / зрозумілий
die Vorlage, -n	template / шаблон, макет, зразок
etw./jdn. wahrnehmen (nimmt wahr, nahm wahr, hat wahrgenommen)	to perceive, to notice / сприймати, помічати
die Zuverlässigkeit (Sg.)	reliability / надійність
etw. anpacken (packt an, packte an, hat angepackt)	to tackle, to take hold of / братися за щось
die Auflistung, -en	list, listing / перелік, список
etw. bestätigen (bestätigt, bestätigte, hat bestätigt)	to confirm / підтверджувати
der Dienstleister, - / die Dienstleisterin, -nen	service provider / постачальник послуг
ehrgeizig	ambitious / амбітний
erforderlich	required, necessary / необхідний
etw./jdn. erkennen (erkennt, erkannte, hat erkannt)	to recognize / розпізнавати, усвідомлювати
etw. erledigen (erledigt, erledigte, hat erledigt)	to complete, to get done / виконувати, залагоджувати
etw. erstatten (erstattet, erstattete, hat erstattet)	to refund, to reimburse / відшкодовувати (кошти)
die Fahrkosten (Pl.)	travel expenses / транспортні витрати
die Flexibilität (Sg.)	flexibility / гнучкість
der Gesprächspartner, - / die Gesprächspartnerin, -nen	conversation partner, interviewer / співрозмовник, інтерв'юер
gründlich	thorough(ly) / ретельний
die Kommunikationskompetenz (Sg.)	communication skills / комунікативні навички
die Kosten (Pl.)	costs, expenses / витрати, вартість
Kosten erstatten	to reimburse costs / відшкодовувати витрати
die Kritikfähigkeit (Sg.)	ability to accept criticism / здатність сприймати критику
etw./jdn. kritisieren (kritisiert, kritisierte, hat kritisiert)	to criticize / критикувати
der Laborleiter, - / die Laborleiterin, -nen	laboratory manager / керівник лабораторії
die Leistungsbereitschaft (Sg.)	motivation, willingness to perform / готовність до роботи, мотивація
der Personalverantwortliche, -n / die Personalverantwortliche, -n	HR manager / HR-менеджер, відповідальний за персонал
die Quittung, -en	receipt / квитанція, чек
die Teamfähigkeit (Sg.)	teamwork skills / здатність працювати в команді
angespannt	tense, tight / напружений
die Bescheinigung, -en	certificate, attestation / довідка, свідоцтво
der Besichtigungstermin, -e	viewing appointment / час огляду (квартири)
betragen (beträgt, betrug, hat betragen)	to amount to, to be / становити, дорівнювати
deprimierend	depressing / пригнічуючий, депресивний
das Familieneinkommen, -	family income / дохід сім'ї
der Gehaltsnachweis, -e	proof of salary/income / довідка про доходи
gemeinsam	together, common / разом, спільний
die Immobilie, -n	real estate, property / нерухомість
der Makler, - / die Maklerin, -nen	real estate agent, broker / маклер, брокер, рієлтор
die Mietschulden (Pl.)	rent arrears, rent debts / борги з оренди
mühsam	arduous, laborious / важкий, виснажливий
angemessen	appropriate, reasonable / відповідний, доречний, належний
der Arbeitgeberverband, "-e	employers' association / спілка роботодавців
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt)	to negotiate / домовлятися, вести переговори
der Bescheid, -e	decision, notification / відповідь, рішення, повідомлення
Bescheid bekommen (bekommt, bekam, hat bekommen)	to be informed, to receive notice / отримати повідомлення / відповідь
die Bezahlung, -en	payment, pay / оплата
die Eigenverantwortung (Sg.)	personal responsibility / особиста відповідальність
das Einstiegsgehalt, "-er	starting salary / початкова зарплата
die Firmenzentrale, -n	headquarters / головний офіс, штаб-квартира
der Freizeitausgleich (Sg.)	compensatory time off / компенсація вільного часу (відгул за перепрацювання)
die Gewerkschaft, -en	trade union / профспілка
inklusive	inclusive, including / включно, у тому числі
die Mess- und Analysetechnik, -en	measurement and analysis technology / вимірювальна та аналітична техніка
mittelständisch	medium-sized / середній (про бізнес)
das Motiv, -e	motive, reason / мотив, причина
nach Tarif zahlen (zahlt, zahlte, hat gezahlt)	to pay according to the collective agreement / платити за тарифною сіткою
der Personalverantwortliche, -n / die Personalverantwortliche, -n	HR manager, person responsible for HR / HR-менеджер, відповідальний за персонал
die Produktpalette, -n	product range / асортимент продукції
regelmäßig	regular(ly) / регулярний
der Tarif, -e	tariff, rate, collective agreement / тариф
sich verhalten (verhält sich, verhielt sich, hat sich verhalten)	to behave, to act / поводитися
die Verabschiedung (Sg.)	farewell, saying goodbye / прощання
das Vertriebsbüro, -s	sales office / офіс продажу
die Anwesenheit (Sg.)	presence, attendance / присутність
der Arbeitsbeginn (Sg.)	start of work / початок роботи
der Auswahlprozess, -e	selection process / процес відбору
die Besetzung (einer Stelle) (Sg.)	filling (of a position) / заповнення (вакансії)
die Betriebsferien (Pl.)	company holidays / корпоративна відпустка (закриття підприємства на свята)
die Betriebskantine, -n	company canteen / їдальня на підприємстві
das Bewerbungsverfahren, -	application process / процес подачі заявки / відбору
der Büroleiter, - / die Büroleiterin, -nen	office manager / офіс-менеджер, керівник офісу
durchgehend	continuous(ly), non-stop / безперервний, цілодобовий
