die Abteilung, -en	department / відділ | Unsere IT-Abteilung kümmert sich um die gesamte Cloud-Infrastruktur.
auf der Strecke bleiben	to fall by the wayside / відстати, бути занедбаним | Ohne kontinuierliche Updates der Skills kann man in der IT schnell auf der Strecke bleiben.
einen Termin ab|sagen	to cancel an appointment / скасувати зустріч | Ich muss den Termin für das Code-Review leider auf morgen verschieben.
das Treffen, -	meeting / зустріч | Das Treffen mit den Stakeholdern war für die Priorisierung des Backlogs sehr wichtig.
sich verspäten	to be late / запізнюватися | Das Deployment der neuen Version wird sich aufgrund technischer Probleme leider verspäten.
das Wohlbefinden (Sg.)	well-being / самопочуття | Ergonomische Stühle im Büro tragen wesentlich zum Wohlbefinden der Programmierer bei.
der Zeitdruck (Sg.)	time pressure / дефіцит часу | Unter großem Zeitdruck passieren beim Programmieren leider oft Flüchtigkeitsfehler.
die Abteilungskonferenz, -en	department conference / конференція відділу | In der monatlichen Abteilungskonferenz stellt der CTO die neue Technik-Roadmap vor.
sich ab|sprechen (mit + Dat.)	to coordinate (with someone) / домовлятися | Ich muss mich kurz mit dem Backend-Team bezüglich der API-Schnittstelle absprechen.
der Anspruch, "-e	claim, demand / претензія, вимога | Der Anspruch an die Datensicherheit ist bei dieser Anwendung extrem hoch.
Anspruch haben auf (+ Akk.)	to have a right to / мати право на | Alle Mitarbeiter haben Anspruch auf eine moderne Hardware-Ausstattung mitsamt zwei Monitoren.
der Arbeitsweg, -e	commute / шлях на роботу | Mein Arbeitsweg dauert eine halbe Stunde.
die Arbeitszeit, -en	working time / робочий час | In unserer IT-Firma gibt es flexible Arbeitszeit-Modelle und Vertrauensarbeitszeit.
das Arbeitszeitgesetz, -e	working time act / закон про робочий час | Das Arbeitszeitgesetz schreibt zwingend eine Pause nach sechs Stunden Arbeit vor.
die Betriebsruhe (Sg.)	company holidays / канікули auf підприємстві | Während der Betriebsruhe werden wichtige Wartungsarbeiten am zentralen Server-Cluster durchgeführt.
das EDV-System, -e	IT system / ІТ-система | Unser EDV-System wurde auf die neueste Version von SAP umgestellt.
jdn. ein|weisen in (+ Akk.)	to instruct, to brief / інструктувати | Der Senior-Admin wird dich heute in das Monitoring-System einweisen.
der Ersatzruhetag, -e	compensatory rest day / компенсаційний вихідний | Wenn wir am Releasetag am Sonntag arbeiten, erhalten wir einen Ersatzruhetag in der Woche.
etw. vor|schreiben	to prescribe, to mandate / приписувати, зобов'язувати | Die DSGVO schreibt vor, wie personenbezogene Daten in unserer SQL-Datenbank gespeichert werden müssen.
der Fall, "-e	case / випадок | Im Falle eines Systemabsturzes ist sofort das On-Call-Team zu benachrichtigen.
auf keinen Fall	in no case / ні в якому разі | Man sollte auf keinen Fall ungetesteten Code direkt in den Main-Branch mergen.
der Freizeitausgleich (Sg.)	compensatory time off / компенсація вільного часу | Für die Überstunden während der Migration bekomme ich nächste Woche Freizeitausgleich.
der Mindesturlaub (Sg.)	minimum leave / мінімальна відпустка | Der gesetzliche Mindesturlaub beträgt in Deutschland 20 Tage bei einer Fünf-Tage-Woche.
die Pflicht, -en	duty / обов'язок | Es ist die Pflicht jedes Entwicklers, regelmäßig Backups seiner lokalen Repositorys zu machen.
das Recht, -e	right, law / право | Der Administrator hat das Recht, Benutzerkonten bei Sicherheitsverstößen zu sperren.
Recht haben	to be right / мати рацію | Du hast Recht, wir sollten für das neue Projekt lieber Python anstatt Java verwenden.
die (gesetzliche) Regel, -n	legal rule / законне правило | Wir müssen die gesetzlichen Regeln zum Datenschutz strikt befolgen.
die Schichtarbeit (Sg.)	shift work / позмінна робота | Im 24/7-Support ist Schichtarbeit leider unvermeidlich.
die Teilzeitarbeit (Sg.)	part-time work / неповна зайнятість | Teilzeitarbeit ist auch für erfahrene Softwarearchitekten eine gute Option.
die Überstunde, -n	overtime / понаднормова година | Wegen des kritischen Bugs mussten wir gestern drei Überstunden machen.
der Urlaubstag, -e	vacation day / день відпустки | Ich habe für die Gamescom-Messe extra zwei Urlaubstage genommen.
die Urlaubszeit, -en	vacation time / час відпустки | In der Urlaubszeit ist die Besetzung im Support-Team oft etwas dünner.
die Vollzeitarbeit (Sg.)	full-time work / повна зайнятість | Nach dem Studium fange ich direkt eine Vollzeitarbeit als Frontend-Entwickler an.
die Wochenendarbeit, -en	weekend work / робота у вихідні | Große Datenbank-Upgrades werden oft als Wochenendarbeit durchgeführt, um den Betrieb nicht zu stören.
die Deadline, -s	deadline / дедлайн | Wir müssen hart arbeiten, um die Deadline für den nächsten Sprint einzuhalten.
das Drehbuch, "-er	script / сценарій | Das Drehbuch für das neue Erklärvideo zur Software-Installation ist fertig.
der Entwurf, "-e	draft / чернетка, проект | Der erste Entwurf des Datenbank-Schemas muss noch vom Senior-Developer geprüft werden.
die Kampagne, -n	campaign / кампанія | Unsere Marketing-Abteilung plant eine große Kampagne für das neue SaaS-Produkt.
die Kosmetikserie, -n	cosmetics line / серія косметики | Wir entwickeln einen intelligenten Onlineshop für eine neue Kosmetikserie.
das Printmedium, -medien	print medium / друковане видання | In diesem Printmedium wurde ein Artikel über unsere innovative App veröffentlicht.
relevant	relevant / важливий, релевантний | Diese Bibliotheken sind für unser aktuelles Projekt nicht relevant.
der Senior Manager, -	senior manager / старший менеджер | Der Senior Manager für Cloud-Operations hat das neue Sicherheitskonzept genehmigt.
die Senior Managerin, -nen	female senior manager / старша менеджерка | Die Senior Managerin bespricht mit uns die Quartalsziele für die Softwareentwicklung.
der Werbefilm, -e	commercial / рекламний ролик | Der Werbefilm für unsere mobile Anwendung wird auf YouTube geschaltet.
die Werbekampagne, -n	advertising campaign / рекламна кампанія | Unsere neue Werbekampagne konzentriert sich auf die Vorteile von Open-Source-Software.
die Abmahnung, -en	written warning / попередження (догана) | Eine Abmahnung wegen Verletzung der IT-Sicherheitsrichtlinien ist sehr ernst zu nehmen.
das Arbeitsgericht, -e	labor court / трудовий суд | Der Streit um die Überstundenvergütung wird nun vor dem Arbeitsgericht geklärt.
die Betriebsfeier, -n	company party / корпоратив | Auf der Betriebsfeier haben wir den erfolgreichen Release unserer Plattform gefeiert.
dokumentieren	to document / документувати | Gute Entwickler dokumentieren ihren Code immer sorgfältig in Javadoc oder Swagger.
der Heizungstechniker, -	heating technician / майстер з опалення | Der Heizungstechniker wartet auch die Klimaanlage in unserem Serverraum.
die Heizungstechnikerin, -nen	female heating technician / майстриня з опалення | Die Heizungstechnikerin hat die Temperaturfühler in der IT-Abteilung ausgetauscht.
die Hilfe, -n	help / допомога | Ich benötige Hilfe beim Konfigurieren des lokalen Kubernetes-Clusters.
um Hilfe bitten	to ask for help / просити про допомогу | Bei komplexen Architekturfragen sollte man immer das Core-Team um Hilfe bitten.
das Zuspätkommen (Sg.)	being late / запізнення | Sein häufiges Zuspätkommen zu den Daily Scrums sorgt für Ärger im Team.
das Verständnis (Sg.)	understanding / розуміння | Danke für Ihr Verständnis bezüglich der kurzen Downtime heute Morgen.
verärgert sein über (+ Akk.)	to be annoyed about / бути роздратованим через | Der Product Owner ist verärgert über die mangelnde Code-Qualität.
abhängig sein von (+ Dat.)	to be dependent on / бути залежним від | Der Erfolg des Deployments ist von der Stabilität der Datenbank abhängig.
die Beratung, -en	advice, consulting / консультація | Wir bieten eine technische Beratung zur Migration auf eine Microservices-Architektur an.
Geld ausgeben für (+ Akk.)	to spend money on / витрачати гроші на | Unternehmen sollten mehr Geld für moderne IT-Sicherheit ausgeben.
die Lieferzeit, -en	delivery time / час доставки | Die Lieferzeit für die neuen High-End-Grafikkarten beträgt momentan drei Wochen.
die Öffnungszeit, -en	opening time / години роботи | Der IT-Support hat feste Öffnungszeiten, ist aber für Notfälle rund um die Uhr erreichbar.
der Online-Einkauf, "-e	online shopping / онлайн-покупки | Wir haben das Backend für einen großen Online-Einkauf-Marktplatz entwickelt.
die Qualität, -en	quality / якість | Die Qualität der Software wird durch kontinuierliche Code-Reviews sichergestellt.
vorsichtig	careful / обережний | Sei vorsichtig, wenn du Änderungen direkt an der Produktions-Datenbank vornimmst!
die Ware, -n	goods, merchandise / товар | Unsere Software verfolgt jede einzelne Ware im Lager in Echtzeit.
der Absatz, "-e	sales, turnover / збут, продажі | Der Absatz unserer neuen Software-Lizenzen ist im letzten Quartal stark gestiegen.
die (technische) Anlage, -n	technical system / equipment / технічна установка | Die gesamte technische Anlage des Rechenzentrums wird zentral überwacht.
eine Anlage warten	to maintain a system / обслуговувати установку | Einmal im Monat muss ein Techniker die Klimaanlage im Serverraum warten.
jdn./etw. beobachten	to observe / спостерігати | Wir beobachten die Server-Last genau, um Engpässe frühzeitig zu erkennen.
der Einzelhandel (Sg.)	retail / роздрібна торгівля | Der Einzelhandel nutzt immer mehr IT-Lösungen für das Bestandsmanagement.
der Endkunde, -n	end customer / кінцевий споживач | Unsere App wird direkt vom Endkunden im App Store heruntergeladen.
die Endkundin, -nen	female end customer / кінцева споживачка | Die Endkundin hat ein Ticket eröffnet, weil sie sich nicht einloggen kann.
etw. entwickeln	to develop / розробляти | Wir entwickeln ein neues Framework für performante Webanwendungen.
die Forschung und Entwicklung (Sg.)	research and development (R&D) / дослідження та розробка | Die Abteilung für Forschung und Entwicklung arbeitet an Quantencomputer-Algorithmen.
der Großhandel (Sg.)	wholesale / гуртова торгівля | Unser ERP-System optimiert die Lieferketten für den internationalen Großhandel.
der Handel (Sg.)	trade, commerce / торгівля | Der elektronische Handel erfordert eine sichere Zahlungsabwicklung.
her|stellen	to produce, to manufacture / виробляти | Die Firma plant, ihre eigenen ARM-basierten Prozessoren herzustellen.
die Herstellung (Sg.)	manufacturing / виробництво | Die Herstellung von Halbleitern erfordert extrem saubere Umgebungen.
etw. liefern	to deliver / доставляти | Der Paketbote wird die neuen Laptops heute Nachmittag liefern.
der Lieferschein, -e	delivery note / накладна | Bitte scannen Sie den Lieferschein für die neue Hardware direkt ein.
Lieferscheine aus|stellen	to issue delivery notes / виписувати накладні | Das System kann automatisch Lieferscheine als PDF-Datei ausstellen.
die Lieferung, -en	delivery / доставка | Die Lieferung der neuen Server-Racks wurde für morgen bestätigt.
der Markt, "-e	market / ринок | Wir müssen den Markt für Cloud-Computing-Dienste genau beobachten.
das Maß, -e	measure, dimension / міра, розмір | Wir brauchen die genauen Maße der Switch-Gehäuse für den Einbau im Rack.
die Menge, -n	quantity, amount / кількість | Eine riesige Menge an Daten wird täglich durch unsere KI verarbeitet.
etw. montieren	to assemble, to install / монтувати | Wir müssen heute noch die neuen Access-Points im Büro montieren.
die Produktion, -en	production / виробництво | Ein Softwarefehler führte zum kompletten Stillstand der Produktion.
die Rechnung, -en	invoice, bill / рахунок | Die Rechnung für das Azure-Abonnement wird automatisch per Lastschrift bezahlt.
die Spedition, -en	shipping company / експедиторська компанія | Die Spedition hat die Paletten mit der neuen Hardware am Hafen abgeholt.
der Transport, -e	transport / транспорт | Der Transport verschlüsselter Daten muss über eine sichere Verbindung erfolgen.
die Verpackung, -en	packaging / упаковка | Die Verpackung des neuen Macs ist sehr hochwertig und umweltfreundlich gestaltet.
der Versand (Sg.)	shipping, dispatch / відправка | Nach dem QA-Check erfolgt der Versand der Hardware an den Kunden.
der Vertrieb (Sg.)	sales, distribution / відділ збуту | Unser Vertrieb nutzt ein CRM-System zur Verwaltung der Kundenkontakte.
der Zwischenhändler, -	middleman, reseller / посередник | Händler kaufen die Laptops oft bei einem spezialisierten IT-Zwischenhändler.
etw. analysieren	to analyze / аналізувати | Wir müssen den Netzwerk-Traffic analysieren, um das Problem zu finden.
etw. bearbeiten	to process, to edit / обробляти | Ich muss den Pull-Request meines Kollegen heute noch bearbeiten.
jdn./etw. befördern	to promote, to transport / підвищувати (на посаді), перевозити | Er wurde zum Leiter der Softwareentwicklung befördert.
jdn./etw. betreuen	to support, to manage / обслуговувати, супроводжувати | Unser Support-Team betreut Kunden bei technischen Problemen mit der App.
die Branche, -n	industry, sector / галузь | In der Tech-Branche ist lebenslanges Lernen absolut notwendig.
die Gastronomie (Sg.)	gastronomy, catering / гастрономія | Die Gastronomie nutzt immer häufiger digitale Kassensysteme mit Cloud-Anbindung.
etw. gestalten	to design, to shape / оформляти, організовувати | Ein UX-Designer hilft uns dabei, die Website benutzerfreundlich zu gestalten.
das Handwerk (Sg.)	craft, trade / ремесло | Gutes Software-Engineering wird oft als modernes digitales Handwerk bezeichnet.
die IT-Branche (Sg.)	IT industry / ІТ-галузь | Die IT-Branche ist einer der wichtigsten Arbeitgeber in Deutschland.
etw. konstruieren	to construct, to design / конструювати | Wir konstruieren ein neues Gehäuse für unsere IoT-Geräte.
etw. kontrollieren	to control, to check / контролювати | Der Administrator muss die Zugriffsrechte der Benutzer regelmäßig kontrollieren.
Kunden bedienen	to serve customers / обслуговувати клієнтів | Unsere Web-Server bedienen gleichzeitig Tausende von Anfragen pro Sekunde.
der Kundenberater, -	customer advisor / консультант клієнтів | Der technische Kundenberater erklärt die Vorteile unserer API.
die Kundenberaterin, -nen	female customer advisor / консультантка клієнтів | Die Kundenberaterin hat uns bei der Auswahl des passenden Hosting-Pakets geholfen.
das Labor, -e	laboratory / лабораторія | Im Hardware-Labor werden neue Prozessoren unter Extrembedingungen getestet.
der Lagerist, -en	warehouse clerk / працівник складу | Der Lagerist nutzt einen Handscanner, der direkt mit der Datenbank verbunden ist.
die Lageristin, -nen	female warehouse clerk / працівниця складу | Die Lageristin aktualisiert den Bestand der Motherboards im System.
der Tierpfleger, -	animal keeper / доглядач за тваринами | Der Tierpfleger nutzt ein Tablet, um die Vitalwerte der Zootiere digital zu erfassen.
die Tierpflegerin, -nen	female animal keeper / доглядачка за тваринами | Die Tierpflegerin programmiert den Futterautomaten für die Aquarien.
Transport und Logistik (Sg.)	transport and logistics / транспорт і логістика | In den Bereichen Transport und Logistik spielt die Routenoptimierung durch KI eine große Rolle.
der Vertriebsweg, -e	distribution channel / канал збуту | Der direkte Download über unsere Website ist unser effektivster Vertriebsweg.
Waren bestellen	to order goods / замовляти товари | Wir müssen neue RAM-Riegel für das Server-Upgrade bestellen.
Wissenschaft und Forschung (Sg.)	science and research / наука та дослідження | Viel Geld aus der Tech-Branche fließt in moderne Wissenschaft und Forschung.
etw. zu|bereiten	to prepare (food) / готувати (їжу) | Dank Smart-Home-Technik kann ich meinen Kaffee schon vom Computer aus zubereiten.
etw. zu|stellen	to deliver, to serve / доставляти | Die E-Mail mit dem Bestätigungs-Code konnte leider nicht zugestellt werden.
die Bequemlichkeit, -en	convenience / зручність | Viele Nutzer schätzen die Bequemlichkeit von Single-Sign-On-Verfahren.
der CO2-Ausstoß (Sg.)	CO2 emission / викид CO2 | Der CO2-Ausstoß von großen Rechenzentren ist ein wichtiges Thema in der Green-IT.
der Händler, -	dealer, vendor / торговець | Der autorisierte Händler bietet speziellen Support für unsere Firmen-Laptops an.
die Händlerin, -nen	female dealer / торговка | Die Händlerin verkauft gebrauchte Netzwerk-Komponenten über eine Online-Plattform.
die Lagerhalle, -n	warehouse / складська будівля | In der neuen Lagerhalle werden die Server-Racks für den Versand vorbereitet.
die Online-Plattform, -en	online platform / онлайн-платформа | Wir entwickeln eine neue Online-Plattform für das Projektmanagement.
der Sonderwunsch, "-e	special request / особливе побажання | Haben Sie bezüglich der Konfiguration Ihres neuen PCs noch einen Sonderwunsch?
etw. aktivieren	to activate / активувати | Nach der Installation müssen Sie das Plugin im WordPress-Backend noch aktivieren.
der Anbieter, -	provider / провайдер, постачальник | Welcher Anbieter hat derzeit die beste Performance für Cloud-Hosting?
die Anbieterin, -nen	female provider / провайдерка | Die Anbieterin stellt uns eine dedizierte Leitung mit 10 Gbit/s zur Verfügung.
etw. auf|laden (lädt auf, lud auf, hat aufgeladen)	to top up, to charge / заряджати, поповнювати (рахунок) | Ich muss den Akku meines Firmen-Laptops aufladen, bevor das Meeting beginnt.
sich beraten lassen	to get advice / отримати консультацію | Wir lassen uns von einem Experten bezüglich der DSGVO-Konformität unserer App beraten.
sich beschweren	to complain / скаржитися | Der Nutzer hat sich im Support-Forum über die langsame Ladezeit der Webseite beschwert.
die Bestellung, -en	order / замовлення | Wir haben eine Bestellung für drei neue Workstations beim IT-Händler aufgegeben.
das Datenvolumen, -	data volume / обсяг даних | Durch die Bildkompression konnten wir das übertragene Datenvolumen deutlich reduzieren.
etw. ein|geben (gibt ein, gab ein, hat eingegeben)	to enter (data) / вводити (дані) | Bitte geben Sie Ihren API-Key in das Konfigurationsfeld ein.
etw. ein|legen	to insert / вставляти | Um den Server zu booten, müssen Sie zuerst den bootfähigen USB-Stick einlegen.
einmalig	one-time / одноразовий | Die Kosten für die Software-Lizenz fallen nur einmalig an.
der Einsteiger, -	beginner / початківець | Diese Programmiersprache ist auch für Einsteiger ohne Vorkenntnisse leicht zu erlernen.
die Einsteigerin, -nen	female beginner / початківиця | Die Einsteigerin macht gerade ein Praktikum in der Frontend-Entwicklung.
etw. entgegen|nehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen)	to receive, to accept / приймати | Der Webserver kann gleichzeitig Tausende von HTTP-Anfragen entgegennehmen.
das Festnetz (Sg.)	landline / стаціонарна мережа | In unserem Büro nutzen wir Voice-over-IP anstelle des klassischen Festnetzes.
etw. frei|schalten	to unlock, to activate / активувати, розблокувати | Der Administrator kann deinen Zugang zum VPN-Server erst morgen freischalten.
die Grundgebühr, -en	basic fee / абонентська плата | In der monatlichen Grundgebühr für unser CRM-System ist der E-Mail-Support bereits enthalten.
gültig	valid / дійсний | Das SSL-Zertifikat für unsere Domain ist nur noch zwei Wochen gültig.
günstig	cheap, favorable / вигідний, недешевий | Open-Source-Lösungen sind oft eine günstige Alternative zu teurer kommerzieller Software.
das Guthaben, -	credit / баланс (грошовий) | Ihr Guthaben für die Cloud-Ressourcen reicht noch für etwa drei Monate.
der Handwerker, -	craftsman, handyman / майстер | In der Softwareentwicklung wird oft vom "Software-Craftsmanship" gesprochen, ähnlich wie beim klassischen Handwerker.
die Handwerkerin, -nen	female craftsman / майстриня | Die IT-Spezialistin arbeitet wie eine Handwerkerin sehr präzise an der Systemarchitektur.
inklusive	inclusive / включно | Das neue Update ist inklusive aller Sicherheits-Patches ab sofort verfügbar.
die Kontrolle, -n	control / контроль | Die Versionskontrolle mit Git ist für professionelle Softwareentwicklung unerlässlich.
der Lieferservice, -s	delivery service / служба доставки | Wir entwickeln eine API für einen internationalen Lieferservice.
das Netz, -e	network / мережа | In unserem internen Netz sind alle Datenbanken durch eine dedizierte Firewall geschützt.
optimal	optimal / оптимальний | Diese Datenbank-Struktur ist optimal für schnelle Lesezugriffe geeignet.
profitieren von (+ Dat.)	to profit from / отримувати вигоду | Unsere Anwendung profitiert stark von den neuen Funktionen des Frameworks.
etw. sperren	to block, to lock / блокувати | Nach drei falschen Passworteingaben wird das Benutzerkonto automatisch für eine Stunde gesperrt.
der Tarif, -e	tariff / тариф | Wir haben uns für den Enterprise-Tarif entschieden, um Zugriff auf alle Features zu erhalten.
etw. verschicken	to send / відправляти | Das System kann automatisch Benachrichtigungen per Webhook verschicken.
der Vertrag, "-e	contract / контракт, договір | Wir haben einen Wartungsvertrag mit dem Server-Anbieter abgeschlossen.
die Vertragslaufzeit, -en	contract duration / термін дії договору | Die Vertragslaufzeit für unsere Cloud-Infrastruktur beträgt mindestens zwölf Monate.
das Angebot, -e	offer / пропозиція | Das Angebot für das Redesign unserer Website war sehr überzeugend.
der Auftrag, "-e	order, assignment / замовлення, доручення | Unser Team hat den Auftrag erhalten, eine neue E-Commerce-Plattform zu bauen.
der Ausdruck, -e	printout / роздруківка | Ich benötige einen Ausdruck der API-Dokumentation für das Meeting.
sich binden an (+ Akk.)	to commit oneself to / зв'язувати себе зобов'язаннями | Durch den Lizenzvertrag binden wir uns langfristig an diesen Software-Anbieter.
brutto	gross / брутто (без вирахування податків) | Das Bruttogehalt für diese Senior-Entwickler-Stelle ist sehr attraktiv.
einverstanden	agreed / згодний | Ich bin mit den vorgeschlagenen Änderungen am Code einverstanden.
etw. empfehlen (empfiehlt, empfahl, hat empfohlen)	to recommend / рекомендувати | Können Sie eine gute Bibliothek für die Einbindung von Diagrammen empfehlen?
die Erledigung, -en	completion / виконання | Vielen Dank für die schnelle Erledigung des Bug-Reports.
etw. erteilen (z.B. einen Auftrag)	to grant, to give / надавати, видавати (доручення) | Die Geschäftsführung wird heute die Freigabe für das Projekt erteilen.
der Grund, "-e	reason / причина | Der Grund für den Systemausfall war eine Fehlkonfiguration des Load-Balancers.
die Mehrwertsteuer (Sg.)	value added tax (VAT) / ПДВ (податок на додану вартість) | Die Cloud-Gebühren werden monatlich zuzüglich der gesetzlichen Mehrwertsteuer abgerechnet.
netto	net / нетто (після податків) | In der Preisliste sind alle Beträge als Netto-Preise angegeben.
sorgfältig	carefully / ретельно | Bitte prüfen Sie den Code sorgfältig auf mögliche Sicherheitslücken.
die Summe, -n	sum, total / сума | Die Gesamtsumme der Lizenzen übersteigt leider unser geplantes Budget.
die Unterschrift, -en	signature / підпис | Für die digitale Signatur wird keine physische Unterschrift mehr benötigt.
zahlbar	payable / до оплати | Der Rechnungsbetrag für das Hosting ist sofort nach Rechnungsstellung zahlbar.
zuverlässig	reliable / надійний | Dieser Backup-Dienst arbeitet sehr zuverlässig im Hintergrund.
der Ärger (Sg.)	anger, trouble / неприємність, гнів | Wir hatten viel Ärger mit dem instabilen WLAN-Router im Büro.
der Artikel, -	article / стаття, товар | Ich habe einen interessanten Artikel über Microservices auf Medium gelesen.
beschädigt	damaged / пошкоджений | Die Festplatte war beim Transport leider so stark beschädigt, dass kein Datenzugriff mehr möglich war.
die Beschwerde, -n	complaint / скарга | Nach dem fehlerhaften Update gab es zahlreiche Beschwerden von unseren Nutzern.
defekt	defective / несправний | Der Controller ist defekt und muss ausgetauscht werden.
dreckig	dirty / брудний | Der Sensor der optischen Maus ist dreckig und muss gereinigt werden.
der Fleck, -en	stain / пляма | Auf dem Gehäuse des neuen Servers ist ein kleiner Fleck, was aber die Funktion nicht beeinträchtigt.
der Mangel, -	defect, lack / недолік | Die Dokumentation weist leider erhebliche Mängel auf.
peinlich	embarrassing / соромно | Es war mir peinlich, dass ich den falschen Link in der E-Mail verschickt habe.
die Reklamation, -en	reclamation, claim / рекламація, претензія | Die Reklamation der fehlerhaften Hardware wurde vom Support-Team sofort bearbeitet.
unvollständig	incomplete / неповний | Die API-Antwort ist unvollständig, da das Timeout-Limit erreicht wurde.
der Vorschlag, "-e	suggestion / пропозиція | Mein Vorschlag ist, die Datenbank-Abfragen mithilfe von Caching zu optimieren.
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen)	to break / розбивати | Vorsicht, das Glaspanel des Computergehäuses kann leicht zerbrechen.
etw. zerkratzen	to scratch / подряпати | Verwenden Sie nur weiche Tücher, um das Display nicht zu zerkratzen.
etw. zerreißen (zerriss, hat zerrissen)	to tear / розривати | Der Systemadministrator hat das alte Fehlerprotokoll zerrissen.
jdn. ausreden lassen	to let someone finish speaking / давати комусь договорити | Lass den Product Owner bitte ausreden, bevor du deine technischen Bedenken äußerst.
die Bedeutung, -en	meaning / значення | Diese Fehlermeldung hat in diesem Kontext eine völlig neue Bedeutung.
die Erwartung, -en	expectation / очікування | Die Performance der neuen Grafikkarte hat unsere Erwartungen weit übertroffen.
etw. klären	to clarify / з'ясовувати | Wir müssen im nächsten Meeting klären, welches Framework wir für das Backend nutzen wollen.
konkurrenzfähig	competitive / конкурентоспроможний | Um konkurrenzfähig zu bleiben, müssen wir die Ladezeit unserer App halbieren.
sich etw. leisten können	to be able to afford / могти собі дозволити | Dank der neuen Finanzierung können wir uns zwei zusätzliche Senior-Entwickler leisten.
einen Preisnachlass gewähren	to grant a discount / надавати знижку | Da wir eine große Menge an Lizenzen kaufen, gewährt uns der Anbieter einen Preisnachlass.
treu bleiben	to stay loyal / залишатися вірним | Unsere Kunden bleiben unserem Service treu, weil wir regelmäßig neue Features liefern.
unzufrieden	dissatisfied / незадоволений | Das Team ist unzufrieden mit der Qualität der aktuellen Dokumentation.
vereinbart	agreed / узгоджений | Die API liefert die Daten nun im vereinbarten JSON-Format zurück.
sich etw. vor|stellen	to imagine / уявляти | Können Sie sich vorstellen, das gesamte System auf eine Serverless-Architektur umzustellen?
der Alltag (Sg.)	everyday life / будні, повсякденне життя | Der technische Wandel prägt unseren IT-Berufsalltag durch immer neue Frameworks.
der Anschluss, "-e	connection / підключення | Der neue Glasfaser-Anschluss im Rechenzentrum ermöglicht deutlich höhere Upload-Raten.
die Anwendungsmöglichkeit, -en	application possibility / можливість застосування | Die Docker-Technologie bietet vielfältige Anwendungsmöglichkeiten für die Microservices-Bereitstellung.
das Display, -s	display, screen / дисплей, екран | Das 4K-Display des neuen Laptops ist ideal für Grafikdesign und Coding geeignet.
einsatzbereit	ready for use / готовий до роботи | Die neue Staging-Umgebung ist ab sofort einsatzbereit für die finalen Tests.
das Gerät, -e	device / пристрій | Jedes Gerät im Netzwerk muss eine eindeutige IP-Adresse zugewiesen bekommen.
herunter|laden (lädt herunter, lud herunter, hat heruntergeladen)	to download / завантажувати | Bitte laden Sie sich die neueste Version von Git von der offiziellen Webseite herunter.
etw. installieren	to install / інсталювати | Der Systemadministrator muss den Sicherheitspatch auf allen Servern gleichzeitig installieren.
das Kommunikationsmittel, -	means of communication / засіб зв'язку | Slack ist in unserem Team das wichtigste Kommunikationsmittel für den schnellen Austausch.
leistungsfähig	powerful, efficient / потужний, продуктивний | Dieser neue M3-Chip ist extrem leistungsfähig für rechenintensive Kompiliervorgänge.
der Mobilfunk (Sg.)	mobile communications / мобільний зв'язок | Dank 5G-Mobilfunk können wir auch unterwegs problemlos an Video-Konferenzen teilnehmen.
multifunktional	multifunctional / багатофункціональний | Moderne IDEs sind multifunktional und bieten neben dem Code-Editor auch Debugging-Tools.
das Navi, -s	sat nav, navigation system / навігатор | Das Navi nutzt Echtzeit-Daten aus der Cloud, um die beste Route zu berechnen.
das Navigationsgerät, -e	navigation device / навігатор | Die Firmware des Navigationsgeräts muss regelmäßig über das Internet aktualisiert werden.
problemlos	problem-free / без проблем | Die Migration der Datenbank von MySQL zu PostgreSQL verlief dank guter Vorbereitung problemlos.
das Risiko, Risiken	risk / ризик | Das größte Risiko bei diesem Projekt ist die Abhängigkeit von einer veralteten API.
sinken (sinkt, sank, ist gesunken)	to sink, to decrease / падати, знижуватися | Die Kosten für Cloud-Speicherplatz sind im letzten Jahr kontinuierlich gesunken.
die Tastatur, -en	keyboard / клавіатура | Mechanische Tastaturen sind bei vielen Softwareentwicklern wegen des besseren Schreibgefühls sehr beliebt.
verfügbar	available / доступний | Der neue Endpunkt unserer REST-API ist ab sofort in der Dokumentation verfügbar.
etw. weiterentwickeln	to develop further / розвивати далі | Wir müssen den Algorithmus zur Bilderkennung mithilfe von Machine Learning ständig weiterentwickeln.
die Zukunft (Sg.)	future / майбутнє | Die Zukunft der Webentwicklung liegt vermutlich in der Nutzung von WebAssembly.
in Zukunft	in the future / у майбутньому | In Zukunft wollen wir unsere Infrastruktur komplett auf "Infrastructure as Code" umstellen.
die Arbeit erleichtern	to make work easier / полегшувати роботу | Künstliche Intelligenz kann Entwicklern die Arbeit erleichtern, indem sie Boilerplate-Code generiert.
die Daten (Pl.)	data / дані | Wir nutzen eine verschlüsselte SQL-Datenbank, um die persönlichen Daten unserer Nutzer zu schützen.
Daten missbrauchen	to misuse data / зловживати даними | Durch unzureichende Verschlüsselung könnten Cyberkriminelle sensible Kundendaten missbrauchen.
nachteilig	disadvantageous / невигідний | Die Nutzung veralteter Bibliotheken kann sich nachteilig auf die Sicherheit der gesamten App auswirken.
papierlos	paperless / безпеперовий | Wir nutzen digitale Tools wie Jira und Confluence, um ein komplett papierloses Projektmanagement zu ermöglichen.
