#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Verdienstausfall, "-e;loss of earnings;втрата заробітку (доходу);Der Verdienstausfall **wird bei Arbeitsunfällen durch das Verletztengeld ausgeglichen**.
die Verletztengeld (Sg.);injury benefit (paid by accident insurance);допомога по травмі (від каси страхування нещасних випадків);Das Verletztengeld **wird von der Berufsgenossenschaft ausgezahlt**.
die Verletztengeldbezug, "-e;receipt of injury benefit;період отримання допомоги по травмі;Während des Verletztengeldbezugs **ruht der Anspruch auf Lohnfortzahlung**.
die Ruhen (z. B. des Anspruchs) (Sg.);suspension (e.g. of a claim);призупинення дії (права/вимоги);Das Ruhen des Arbeitsverhältnisses **wurde während der Elternzeit vereinbart**.
die Elternzeit, -en;parental leave;відпустка по догляду за дитиною (декрет);Während der Elternzeit **ist die Kündigung des Arbeitsverhältnisses ausgeschlossen**.
die Kündigungsverbot, -e;ban on dismissal;заборона звільнення;Das gesetzliche Kündigungsverbot **schützt Frauen im Mutterschutz**.
die Mutterschutz, -e;maternity protection;декретна відпустка (охорона материнства перед і після пологів);Der Mutterschutz **beginnt sechs Wochen vor dem voraussichtlichen Entbindungstermin**.
die Entbindungstermin, -e;delivery date / due date (birth);очікувана дата пологів;Der Entbindungstermin **muss dem Personalbüro durch ein ärztliches Zeugnis nachgewiesen werden**.
die Mutterschaftsgeld (Sg.);maternity benefit;допомога по вагітності та пологах;Das Mutterschaftsgeld **wird von der Krankenkasse und dem Arbeitgeber gezahlt**.
die Arbeitgeberzuschuss, "-e;employer's subsidy / supplement;доплата від роботодавця (допомога);Der Arbeitgeberzuschuss **gleicht die Differenz zum Nettogehalt aus**.
die Nettogehalt, "-er;net salary;чиста заробітна плата;Das Nettogehalt **ist für die Berechnung des Elterngeldes maßgeblich**.
die Elterngeld (Sg.);parental allowance;допомога по догляду за дитиною (державна виплата батькам);Das Elterngeld **wird bei der Elterngeldstelle beantragt**.
die Elterngeldstelle, -n;parental allowance office;відомство з виплати батьківської допомоги;Die Elterngeldstelle **fordert die Vorlage der Gehaltsabrechnungen der letzten 12 Monate**.
die Gehaltsnachweis, -e;proof of salary / income;довідка про доходи (зарплату);Der Gehaltsnachweis **ist für den Abschluss des Mietvertrags erforderlich**.
die Einkommensnachweis, -e;proof of income;підтвердження доходів;Als Einkommensnachweis **kann der Steuerbescheid des Vorjahres vorgelegt werden**.
die Steuerbescheid, -e;tax assessment notice;повідомлення про нарахування податку;Der Steuerbescheid **dient dem Vermieter als Nachweis der Bonität**.
die Bonitätsnachweis, -e;proof of creditworthiness;підтвердження платоспроможності;Die Schufa-Auskunft gilt als **anerkannter Bonitätsnachweis in Deutschland**.
die Schufa (Schutzgemeinschaft für allgemeine Kreditsicherung) (Sg.);Schufa (German credit investigation agency);Шуфа (асоціація захисту кредитних ризиків);Die Schufa **erstellt Bonitätsauskünfte für Verbraucher und Unternehmen**.
die Bonitätsindex, -e;credit index / score;індекс платоспроможності (скоринговий бал);Ein niedriger Bonitätsindex **weist auf ein hohes Ausfallrisiko hin**.
die Ausfallwahrscheinlichkeit, -en;probability of default;ймовірність дефолту (неплатежу);Die Ausfallwahrscheinlichkeit **wird durch mathematische Scoring-Verfahren berechnet**.
die Scoring-Wert, -e;scoring value / credit score;скоринговий бал;Der Scoring-Wert **entscheidet über die Genehmigung von Ratenzahlungen**.
die Ratenzahlungsvereinbarung, -en;installment agreement;угода про оплату частинами;Die Ratenzahlungsvereinbarung **bedarf der Schriftform, um wirksam zu sein**.
die Schriftform (Sg.);written form;письмова форма (обов'язкова письмова форма за законом);Für Kündigungen **schreibt das Gesetz zwingend die Schriftform vor**.
die Textform (Sg.);text form (e.g., email, SMS - no signature required);текстова форма (без підпису - напр. email);Für den Urlaubsantrag **ist die Textform im Betrieb ausreichend**.
die E-Mail, -s;email;електронна пошта;Die Krankmeldung **kann vorab per E-Mail an das Personalbüro gesendet werden**.
die Fax, -e;fax;факс;Der Frachtbrief **wurde vorab per Fax an die Spedition übermittelt**.
die Briefpost (Sg.);postal mail;паперова пошта;Die Klageschrift **muss per Briefpost beim Arbeitsgericht eingehen**.
die Einschreiben, -;registered mail / letter;рекомендований лист;Das Kündigungsschreiben **sollte per Einschreiben mit Rückschein zugestellt werden**.
die Rückschein, -e;advice of receipt / return receipt;повідомлення про вручення (рекомендованого листа);Der Rückschein **weist den Zugang des Schreibens beim Empfänger nach**.
die Zugang (z. B. des Schreibens) (Sg.);receipt / arrival (of the letter);надходження (отримання листа адресатом);Der Zugang der Kündigung **ist der Stichtag für den Beginn der Klagefrist**.
die Klagefrist, -en;limitation period for filing a lawsuit / deadline;термін подання позову;Die Klagefrist **beträgt im Kündigungsschutzrecht drei Wochen**.
die Kündigungsschutzgesetz (KSchG) (Sg.);Dismissal Protection Act;Закон про захист від звільнення (KSchG);Das KSchG **gilt in Betrieben mit mehr als zehn Beschäftigten**.
die Kleinbetrieb, -e;small business;мале підприємство (до 10 працівників);Im Kleinbetrieb **findet das Kündigungsschutzgesetz keine Anwendung**.
die Anwendung (Sg.);application;застосування;Die Anwendung der neuen Vorschriften **wird von der Arbeitsschutzbehörde kontrolliert**.
die Geltungsbereich, -e;scope / area of application;сфера дії (закону або договору);Der Geltungsbereich des Tarifvertrags **erstreckt sich auf alle Beschäftigten**.
die Tarifvertrag, "-e;collective agreement;тарифний договір;Der Tarifvertrag **wurde von der Gewerkschaft gekündigt**.
