#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
das Online-Stellenportal, -e;das Online-Stellenportal;online job portal;онлайн-портал вакансій;StepStone ist ein bekanntes Online-Stellenportal in Deutschland.
das Pharmaunternehmen, -;das Pharmaunternehmen;pharmaceutical company;фармацевтична компанія;Das Pharmaunternehmen sucht IT-Experten für die Datenanalyse (Big Data).
die Qualitätskontrolle, -n;die Qualitätskontrolle;quality control;контроль якості;Die QA (Qualitätskontrolle) prüft den Code vor dem Release.
etw. recherchieren (recherchiert, recherchierte, hat recherchiert);recherchieren;to research;досліджувати, шукати інформацію;Ich muss die beste API-Lösung für unser Projekt recherchieren.
sorgfältig;sorgfältig;careful(ly), diligent(ly);ретельний, акуратний;Programmierer müssen beim Unit-Testing sehr sorgfältig sein.
soziale Netzwerke (Pl.);soziale Netzwerke;social networks;соціальні мережі;Wir teilen das Jobangebot für Entwickler auch über soziale Netzwerke.
die Sozialleistung, -en;die Sozialleistung;social benefit;соціальна виплата, пільга від компанії;Dieses IT-Startup bietet sehr gute Sozialleistungen für Mitarbeiter.
die Stellenbörse, -n;die Stellenbörse;job market, job exchange;біржа праці, ринок вакансій;Stack Overflow hatte früher eine eigene Stellenbörse für Coder.
das Stellengesuch, -e;das Stellengesuch;job request, job application;заява про пошук роботи;Ich habe mein Stellengesuch als DevOps-Engineer online gestellt.
die Stellensuche (Sg.);die Stellensuche;job search;пошук роботи;Meine Stellensuche in der Tech-Branche war nach zwei Wochen erfolgreich.
umfangreich;umfangreich;extensive, comprehensive;об'ємний, великий, розлогий;Diese API hat eine sehr umfangreiche Dokumentation.
unbefristet;unbefristet;unlimited, permanent;безстроковий;Ich suche einen unbefristeten Arbeitsvertrag als Fullstack-Developer.
die Vergütung, -en;die Vergütung;compensation, remuneration;оплата праці, винагорода;Die finanzielle Vergütung für Senior Entwickler ist sehr attraktiv.
etw. verlangen (verlangt, verlangte, hat verlangt);verlangen;to demand, to require;вимагати;Der Job verlangt sehr gute Kenntnisse in React und Node.js.
die Voraussetzung, -en;die Voraussetzung;prerequisite, requirement;передумова, вимога;Gute Englischkenntnisse sind eine absolute Voraussetzung für das IT-Team.
die Webseite, -n;die Webseite;website;вебсайт;Wir müssen das Design unserer Webseite dringend aktualisieren.
der Abschluss, "-e;der Abschluss;degree, graduation;закінчення (навчального закладу), диплом;Mein Abschluss in Informatik hilft mir bei der Jobsuche.
etw. auswerten (wertet aus, wertete aus, hat ausgewertet);auswerten;to evaluate, to analyze;оцінювати, аналізувати;Wir müssen die Log-Dateien des Servers auswerten, um den Fehler zu finden.
begeistert von (+ Dat.);begeistert von;enthusiastic about;у захваті від;Ich bin sehr begeistert von den neuen Features in TypeScript 5.
der Bildungsweg, -e;der Bildungsweg;educational path;освітній шлях, шлях отримання освіти;Mein Bildungsweg umfasst ein Coding Bootcamp und ein Studium.
die Daten (Pl.);die Daten;data;дані;Wir müssen die persönlichen Daten unserer User sicher verschlüsseln.
etw. dokumentieren (dokumentiert, dokumentierte, hat dokumentiert);dokumentieren;to document;документувати;Als Entwickler müssen wir unseren Quellcode sauber dokumentieren.
eigenverantwortlich;eigenverantwortlich;independent(ly), responsible;під власну відповідальність, самостійний;Im Homeoffice arbeite ich sehr eigenverantwortlich.
die Fähigkeit, -en;die Fähigkeit;ability, skill;навичка, здатність;Schnelle Problemlösung ist eine wichtige Fähigkeit für IT-Spezialisten.
fehlerfrei;fehlerfrei;flawless, error-free;безпомилковий;Mein Ziel ist es, skalierbaren und fehlerfreien Code zu schreiben.
jdn. hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen);hinweisen auf;to point out to;вказувати комусь на щось;Der Compiler weist den Entwickler auf Syntax-Fehler hin.
etw. hinzufügen zu (+ Dat.) (fügt hinzu, fügte hinzu, hat hinzugefügt);hinzufügen zu;to add to;додавати до;Ich möchte dieses Projekt-Repository zu meinem GitHub-Profil hinzufügen.
die Korrektheit (Sg.);die Korrektheit;correctness;правильність, коректність;Die QA testet die funktionale Korrektheit der Software.
persönliche Daten (Pl.);persönliche Daten;personal data;персональні дані;Die DSGVO schützt persönliche Daten im Internet.
die Praxis- und Berufserfahrung, -en;die Praxis- und Berufserfahrung;practical and professional experience;практичний та професійний досвід;Ich habe fünf Jahre Praxis- und Berufserfahrung als Sysadmin.
selbstständig;selbstständig;independent, autonomous;самостійний, незалежний;Ich kann dieses Jira-Ticket komplett selbstständig bearbeiten.
die Stellenausschreibung, -en;die Stellenausschreibung;job advertisement;оголошення про вакансію;Die Stellenausschreibung passt perfekt zu meinem technischen Profil.
verfügen über (+ Akk.) (verfügt, verfügte, hat verfügt);verfügen über;to possess, to have at one's disposal;володіти, мати в розпорядженні;Sie verfügen über exzellente Kenntnisse im Bereich Cloud-Computing.
vertraut mit (+ Dat.);vertraut mit;familiar with;обізнаний з, знайомий з;Ich bin sehr vertraut mit agilen Methoden wie Scrum und Kanban.
die Vollständigkeit (Sg.);die Vollständigkeit;completeness;повнота, цілісність;Wir prüfen die Vollständigkeit der Datenbank nach der Migration.
die Weiterbildung, -en;die Weiterbildung;further education, training;підвищення кваліфікації;Ich mache eine Weiterbildung zum AWS Certified Solutions Architect.
die Messung, -en;die Messung;measurement;вимірювання;Die Messung der Ladezeiten (Performance) erfolgt automatisch durch Scripts.
reizen (reizt, reizte, hat gereizt);reizen;to appeal to, to tempt;приваблювати, манити;Die Arbeit an Künstlicher Intelligenz reizt mich beruflich sehr.
die Rückmeldung, -en;die Rückmeldung;feedback, reply;зворотний зв'язок, відповідь;Ich warte noch auf eine Rückmeldung vom HR nach dem Vorstellungsgespräch.
die Soft Skills (Pl.);die Soft Skills;soft skills;м'які навички;Gute Kommunikation ist einer der wichtigsten Soft Skills in der IT.
die Stärke, -n;die Stärke;strength;сильна сторона;Meine größte Stärke ist das Debugging von komplexem Legacy-Code.
der Versuchsablauf, "-e;der Versuchsablauf;test procedure, experimental procedure;хід тестування, експерименту;Der Versuchsablauf beim A/B-Testing für das neue Design ist dokumentiert.
etw. vertiefen (vertieft, vertiefte, hat vertieft);vertiefen;to deepen;поглиблювати (напр. знання);Ich möchte meine Kenntnisse in Docker und Kubernetes weiter vertiefen.
vielfältig;vielfältig;diverse, varied;різноманітний, багатогранний;Die Aufgaben eines Fullstack-Entwicklers in einem Startup sind sehr vielfältig.
vollständig;vollständig;complete(ly);повний;Der Quellcode des Projekts ist vollständig auf GitHub verfügbar.
sich weiterentwickeln (entwickelt sich weiter, entwickelte sich weiter, hat sich weiterentwickelt);sich weiterentwickeln;to develop further;розвиватися далі, вдосконалюватися;In der IT-Branche muss man sich ständig weiterentwickeln.
Wert legen auf (+ Akk.) (legt, legte, hat gelegt);Wert legen auf;to attach importance to, to value;надавати значення, цінувати;Wir legen großen Wert auf sauberen Code und gute Testabdeckung.
der Absender, -;der Absender;sender;відправник;Der Absender der E-Mail war der IT-Recruiter des Unternehmens.
die Anlage, -n;die Anlage;attachment, enclosure;додаток (до листа);Mein detaillierter Lebenslauf befindet sich in der Anlage dieser E-Mail.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;der Ansprechpartner;contact person;контактна особа;Wer ist mein technischer Ansprechpartner für das neue Projekt?
der Aufgabenbereich, -e;der Aufgabenbereich;area of responsibility;сфера завдань, обов'язків;Die Frontend-Entwicklung gehört zu meinem neuen Aufgabenbereich.
das Aufgabengebiet, -e;das Aufgabengebiet;field of activity, scope of duties;сфера діяльності;Cloud-Administration ist mein primäres Aufgabengebiet.
etw. beantworten (beantwortet, beantwortete, hat beantwortet);beantworten;to answer;відповідати на щось;Ich muss noch ein paar Fragen des Kunden im Ticket beantworten.
etw. beweisen (beweist, bewies, hat bewiesen);beweisen;to prove;доводити;Er konnte seine Coding-Skills im technischen Interview (Live-Coding) beweisen.
die Bewerbungsunterlagen (Pl.);die Bewerbungsunterlagen;application documents;документи для працевлаштування;Ich habe meine Bewerbungsunterlagen als PDF per E-Mail geschickt.
die Durchführung, -en;die Durchführung;execution, implementation;виконання, проведення;Ich bin für die Durchführung der automatisierten Software-Tests verantwortlich.
sich einarbeiten in (+ Akk.);sich einarbeiten in;to familiarize oneself with;вникати, освоювати, опановувати;Ich muss mich in der ersten Woche in das neue Framework einarbeiten.
die Einleitung, -en;die Einleitung;introduction;вступ;Die Einleitung im Anschreiben sollte direkt und spannend formuliert sein.
der Empfänger, - / die Empfängerin, -nen;der Empfänger;recipient;одержувач;Der Empfänger der Nachricht bekommt sofort eine Push-Benachrichtigung.
engagiert;engagiert;committed, dedicated;відданий справі, активний;Wir suchen engagierte Junior-Entwickler für unser wachsendes Team.
das Fachwissen (Sg.);das Fachwissen;expertise, expert knowledge;професійні знання;Er hat ein unglaubliches Fachwissen im Bereich Cybersecurity.
das Fähigkeitsprofil, -e;das Fähigkeitsprofil;skill profile;профіль навичок;Mein technisches Fähigkeitsprofil passt sehr gut zu den Anforderungen.
etw. fordern (fordert, forderte, hat gefordert);fordern;to demand, to require;вимагати;Die neue Software fordert leider viel mehr Rechenleistung (CPU).
herausfordernd;herausfordernd;challenging;складний, такий, що кидає виклик;Die Migration der Backend-Architektur ist sehr herausfordernd.
leichtfallen (fällt leicht, fiel leicht, ist leichtgefallen);leichtfallen;to be easy (for someone);даватися легко;Das Erlernen von neuen Programmiersprachen fällt mir sehr leicht.
einen Termin bestätigen;einen Termin bestätigen;to confirm an appointment;підтвердити зустріч;Ich möchte hiermit den Termin für das IT-Interview nächste Woche bestätigen.
überzeugend;überzeugend;convincing;переконливий;Seine Lösung für den Algorithmus beim Live-Coding war sehr überzeugend.
unbedingt;unbedingt;absolutely, necessarily;обов'язково, неодмінно;Wir müssen diesen kritischen Bug unbedingt noch vor dem Wochenende fixen.
etw. variieren (variiert, variierte, hat variiert);variieren;to vary;варіювати, змінювати;Die Server-Auslastung kann je nach Tageszeit stark variieren.
verständlich;verständlich;understandable, comprehensible;зрозумілий;Die API-Dokumentation muss für alle externen Entwickler verständlich sein.
die Vorlage, -n;die Vorlage;template;шаблон, макет, зразок;Ich nutze eine fertige CSS-Vorlage für das neue Webdesign.
etw./jdn. wahrnehmen (nimmt wahr, nahm wahr, hat wahrgenommen);etw.;to perceive, to notice;сприймати, помічати;User nehmen langsame Ladezeiten der App sehr negativ wahr.
etw. anpacken (packt an, packte an, hat angepackt);anpacken;to tackle, to take hold of;братися за щось;Wir müssen dieses komplexe Architektur-Problem gemeinsam anpacken.
die Auflistung, -en;die Auflistung;list, listing;перелік, список;Hier ist eine Auflistung aller Bugs, die wir im nächsten Sprint fixen müssen.
etw. bestätigen (bestätigt, bestätigte, hat bestätigt);bestätigen;to confirm;підтверджувати;Bitte bestätigen Sie den Empfang der neuen Server-Hardware.
der Dienstleister, - / die Dienstleisterin, -nen;der Dienstleister;service provider;постачальник послуг;Wir nutzen AWS als Dienstleister für unsere IT-Infrastruktur.
ehrgeizig;ehrgeizig;ambitious;амбітний;Er ist ein sehr ehrgeiziger Junior-Entwickler und lernt unglaublich schnell.
etw./jdn. erkennen (erkennt, erkannte, hat erkannt);etw.;to recognize;розпізнавати, усвідомлювати;Die KI kann komplexe Muster in diesen großen Datenmengen erkennen.
etw. erledigen (erledigt, erledigte, hat erledigt);erledigen;to complete, to get done;виконувати, залагоджувати;Ich werde dieses Jira-Ticket bis morgen Abend erledigen.
etw. erstatten (erstattet, erstattete, hat erstattet);erstatten;to refund, to reimburse;відшкодовувати (кошти);Die Firma wird mir die Kosten für das IT-Zertifikat erstatten.
die Fahrkosten (Pl.);die Fahrkosten;travel expenses;транспортні витрати;Werden die Fahrkosten zum Vorstellungsgespräch vom Arbeitgeber übernommen?
die Flexibilität (Sg.);die Flexibilität;flexibility;гнучкість;Agile Softwareentwicklung erfordert viel Flexibilität vom gesamten Team.
der Gesprächspartner, - / die Gesprächspartnerin, -nen;der Gesprächspartner;conversation partner, interviewer;співрозмовник, інтерв'юер;Mein Gesprächspartner beim Interview war der Lead Developer.
gründlich;gründlich;thorough(ly);ретельний;Der Code muss vor dem Commit in den Main-Branch gründlich getestet werden.
die Kommunikationskompetenz (Sg.);die Kommunikationskompetenz;communication skills;комунікативні навички;Kommunikationskompetenz ist besonders wichtig bei der agilen Arbeit im Team.
die Kosten (Pl.);die Kosten;costs, expenses;витрати, вартість;Wir müssen die Kosten für unsere Cloud-Datenbanken reduzieren.
Kosten erstatten;Kosten erstatten;to reimburse costs;відшкодовувати витрати;Das Unternehmen wird die Kosten für das Homeoffice-Equipment erstatten.
die Kritikfähigkeit (Sg.);die Kritikfähigkeit;ability to accept criticism;здатність сприймати критику;Bei Code-Reviews ist eine hohe Kritikfähigkeit extrem wichtig für Entwickler.
etw./jdn. kritisieren (kritisiert, kritisierte, hat kritisiert);etw.;to criticize;критикувати;Wir kritisieren im Review immer nur den Code, niemals den Entwickler.
der Laborleiter, - / die Laborleiterin, -nen;der Laborleiter;laboratory manager;керівник лабораторії;Der Laborleiter überwacht die Qualität der neuen Hardware-Tests.
die Leistungsbereitschaft (Sg.);die Leistungsbereitschaft;motivation, willingness to perform;готовність до роботи, мотивація;Die Leistungsbereitschaft unseres IT-Teams vor einem Release ist sehr hoch.
der Personalverantwortliche, -n / die Personalverantwortliche, -n;der Personalverantwortliche;HR manager;HR-менеджер, відповідальний за персонал;Das Erstgespräch findet mit dem Personalverantwortlichen statt.
die Quittung, -en;die Quittung;receipt;квитанція, чек;Ich brauche die Quittung für den Kauf der Software-Lizenz für die Buchhaltung.
die Teamfähigkeit (Sg.);die Teamfähigkeit;teamwork skills;здатність працювати в команді;Für Pair-Programming ist absolute Teamfähigkeit erforderlich.
angespannt;angespannt;tense, tight;напружений;Der Wohnungsmarkt in IT-Hubs wie München oder Berlin ist sehr angespannt.
die Bescheinigung, -en;die Bescheinigung;certificate, attestation;довідка, свідоцтво;Ich brauche eine Bescheinigung meines Arbeitgebers für den neuen Vermieter.
der Besichtigungstermin, -e;der Besichtigungstermin;viewing appointment;час огляду (квартири);Ich habe heute Nachmittag einen Besichtigungstermin für eine schöne Wohnung.
betragen (beträgt, betrug, hat betragen);betragen;to amount to, to be;становити, дорівнювати;Die Miete darf laut Experten maximal 30% des Netto-Gehalts betragen.
deprimierend;deprimierend;depressing;пригнічуючий, депресивний;Die lange Wohnungssuche in Deutschland kann für Expats manchmal deprimierend sein.
das Familieneinkommen, -;das Familieneinkommen;family income;дохід сім'ї;Als Softwareentwickler trägt er den größten Teil zum Familieneinkommen bei.
der Gehaltsnachweis, -e;der Gehaltsnachweis;proof of salary/income;довідка про доходи;Der Vermieter verlangt die Gehaltsnachweise der letzten drei Monate.
gemeinsam;gemeinsam;together, common;разом, спільний;Wir suchen gemeinsam mit meiner Frau nach einer größeren Wohnung.
die Immobilie, -n;die Immobilie;real estate, property;нерухомість;Als Senior Developer möchte er später in eine eigene Immobilie investieren.
der Makler, - / die Maklerin, -nen;der Makler;real estate agent, broker;маклер, брокер, рієлтор;Der Makler hat mir eine tolle Wohnung in der Nähe des IT-Büros gezeigt.
die Mietschulden (Pl.);die Mietschulden;rent arrears, rent debts;борги з оренди;Zum Glück habe ich ein gutes IT-Gehalt und absolut keine Mietschulden.
mühsam;mühsam;arduous, laborious;важкий, виснажливий;Die Suche nach einer bezahlbaren Wohnung ist in Großstädten oft sehr mühsam.
angemessen;angemessen;appropriate, reasonable;відповідний, доречний, належний;Ein angemessenes Gehalt ist für Senior Developer sehr wichtig.
der Arbeitgeberverband, "-e;der Arbeitgeberverband;employers' association;спілка роботодавців;Der Arbeitgeberverband verhandelt auch über IT-Tarifverträge.
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt);aushandeln;to negotiate;домовлятися, вести переговори;Ich konnte im Interview mehr Urlaubstage aushandeln.
der Bescheid, -e;der Bescheid;decision, notification;відповідь, рішення, повідомлення;Ich warte noch auf den Bescheid nach dem technischen Interview.
Bescheid bekommen (bekommt, bekam, hat bekommen);Bescheid bekommen;to be informed, to receive notice;отримати повідомлення / відповідь;Sie werden nächste Woche Bescheid bekommen, ob wir Sie einstellen.
die Bezahlung, -en;die Bezahlung;payment, pay;оплата;Die Bezahlung in diesem Tech-Startup ist überdurchschnittlich gut.
die Eigenverantwortung (Sg.);die Eigenverantwortung;personal responsibility;особиста відповідальність;Agile Teams arbeiten mit sehr viel Eigenverantwortung.
das Einstiegsgehalt, "-er;das Einstiegsgehalt;starting salary;початкова зарплата;Das Einstiegsgehalt für Junior Frontend Developer ist gestiegen.
die Firmenzentrale, -n;die Firmenzentrale;headquarters;головний офіс, штаб-квартира;Die Firmenzentrale unseres Software-Unternehmens ist in München.
der Freizeitausgleich (Sg.);der Freizeitausgleich;compensatory time off;компенсація вільного часу (відгул за перепрацювання);Für das Wochenende-Release am Server bekomme ich Freizeitausgleich.
inklusive;inklusive;inclusive, including;включно, у тому числі;Das Gehalt ist inklusive eines Budgets für Weiterbildungen.
die Mess- und Analysetechnik, -en;die Mess- und Analysetechnik;measurement and analysis technology;вимірювальна та аналітична техніка;Wir entwickeln Software für die Mess- und Analysetechnik.
mittelständisch;mittelständisch;medium-sized;середній (про бізнес);Ich arbeite lieber in einem mittelständischen IT-Unternehmen als im Großkonzern.
das Motiv, -e;das Motiv;motive, reason;мотив, причина;Was war Ihr Motiv, sich bei uns als Entwickler zu bewerben?
nach Tarif zahlen (zahlt, zahlte, hat gezahlt);nach Tarif zahlen;to pay according to the collective agreement;платити за тарифною сіткою;Viele große Tech-Konzerne in Deutschland zahlen nach Tarif.
die Produktpalette, -n;die Produktpalette;product range;асортимент продукції;Unsere Produktpalette umfasst verschiedene Cloud- und SaaS-Lösungen.
regelmäßig;regelmäßig;regular(ly);регулярний;Wir machen regelmäßig Code-Refactoring, um die Qualität zu halten.
der Tarif, -e;der Tarif;tariff, rate, collective agreement;тариф;Mein Gehalt als Sysadmin richtet sich nach dem aktuellen Tarif.
sich verhalten (verhält sich, verhielt sich, hat sich verhalten);sich verhalten;to behave, to act;поводитися;Beim Vorstellungsgespräch sollte man sich professionell verhalten.
die Verabschiedung (Sg.);die Verabschiedung;farewell, saying goodbye;прощання;Die Verabschiedung nach dem Interview war sehr freundlich.
das Vertriebsbüro, -s;das Vertriebsbüro;sales office;офіс продажу;Wir richten ein neues Netzwerk für das Vertriebsbüro ein.
die Anwesenheit (Sg.);die Anwesenheit;presence, attendance;присутність;Beim Daily Standup ist die Anwesenheit aller Entwickler Pflicht.
der Arbeitsbeginn (Sg.);der Arbeitsbeginn;start of work;початок роботи;Mein offizieller Arbeitsbeginn ist am 1. September.
der Auswahlprozess, -e;der Auswahlprozess;selection process;процес відбору;Der Auswahlprozess für die DevOps-Stelle hat drei Runden.
die Besetzung (einer Stelle) (Sg.);die Besetzung;filling (of a position);заповнення (вакансії);Die Besetzung der Senior-Position hat höchste Priorität.
die Betriebsferien (Pl.);die Betriebsferien;company holidays;корпоративна відпустка (закриття підприємства на свята);Während der Betriebsferien im Dezember gibt es nur einen Notfall-Support.
die Betriebskantine, -n;die Betriebskantine;company canteen;їдальня на підприємстві;In der Betriebskantine gibt es auch veganes Essen für das Team.
das Bewerbungsverfahren, -;das Bewerbungsverfahren;application process;процес подачі заявки / відбору;Das Bewerbungsverfahren läuft komplett digital ab.
der Büroleiter, - / die Büroleiterin, -nen;der Büroleiter;office manager;офіс-менеджер, керівник офісу;Der Büroleiter kümmert sich um die neuen Laptops für die Entwickler.
durchgehend;durchgehend;continuous(ly), non-stop;безперервний, цілодобовий;Unser Server-Monitoring läuft durchgehend 24/7.
die Einarbeitung (Sg.);die Einarbeitung;onboarding, training period;онбординг, введення в посаду;Die Einarbeitung in die neue Codebase dauert etwa einen Monat.
der Eindruck, "-e;der Eindruck;impression;враження;Ich habe im technischen Interview einen guten Eindruck hinterlassen.
das Einstellungsgespräch, -e;das Einstellungsgespräch;job interview;співбесіда (при прийомі на роботу);Ich lerne gerade fleißig für mein Einstellungsgespräch bei SAP.
die Einzelheit, -en;die Einzelheit;detail;деталь, подробиця;Wir müssen noch ein paar technische Einzelheiten der API klären.
sich erkundigen nach (+ Dat.);sich erkundigen nach;to inquire about;дізнаватися про, довідуватися;Ich möchte mich nach dem Stand meiner Bewerbung erkundigen.
der Feierabend (Sg.);der Feierabend;end of the working day;кінець робочого дня;Nach Feierabend spiele ich oft noch Videospiele.
flexibel;flexibel;flexible;гнучкий;Als Softwareentwickler habe ich sehr flexible Arbeitszeiten.
gesetzlich;gesetzlich;legal, statutory;законний, встановлений законом;Der gesetzliche Mindesturlaub in Deutschland beträgt 20 Tage.
die Kündigungsregelung, -en;die Kündigungsregelung;termination rule/policy;правила звільнення (розірвання договору);Die Kündigungsregelung steht im letzten Absatz des Arbeitsvertrags.
der ÖPNV (Öffentlicher Personennahverkehr) (Sg.);der ÖPNV;public transport;громадський транспорт;Das Büro hat eine sehr gute Anbindung an den ÖPNV.
der Schichtbetrieb (Sg.);der Schichtbetrieb;shift operation, shift work;позмінна робота;Das Rechenzentrum läuft im Schichtbetrieb, um Ausfälle zu vermeiden.
die Teambesprechung, -en;die Teambesprechung;team meeting;командна нарада;Wir planen den nächsten Sprint in der Teambesprechung.
der Urlaubsanspruch, "-e;der Urlaubsanspruch;leave entitlement, right to vacation;право на відпустку;Mein Urlaubsanspruch beträgt 30 Tage pro Jahr.
(gut/schlecht) verlaufen (verläuft, verlief, ist verlaufen);verlaufen;to go (well/badly);проходити (добре/погано);Das Code-Review ist heute sehr gut verlaufen.
sich etw. verschaffen (z. B. einen Eindruck) (verschafft sich, verschaffte sich, hat sich verschafft);sich etw. verschaffen;to obtain, to gain (e.g., an impression);здобути, отримати (напр., враження);Ich muss mir erst einen Überblick über den alten Code verschaffen.
der Zuschuss, "-e;der Zuschuss;subsidy, grant, allowance;доплата, субсидія, допомога;Die Firma zahlt einen Zuschuss für das Ticket des ÖPNV.
etw. antreten (z. B. eine Stelle) (tritt an, trat an, hat angetreten);antreten;to take up, to start (e.g., a job);починати, приступати до (роботи);Ich werde meine neue Stelle als Fullstack-Developer am Montag antreten.
etw. aushändigen (händigt aus, händigte aus, hat ausgehändigt);aushändigen;to hand over;вручати, видавати auf руки;Die IT-Abteilung wird dir am ersten Tag den Laptop aushändigen.
der Betriebsrat, "-e;der Betriebsrat;works council;виробнича рада (представник працівників);Der Betriebsrat hat der neuen Homeoffice-Regelung zugestimmt.
chaotisch;chaotisch;chaotic;хаотичний;Ohne Jira und Scrum war die Projektplanung früher sehr chaotisch.
der Dienstplan, "-e;der Dienstplan;roster, shift schedule;графік чергувань / роботи;Der Dienstplan für den IT-Support wird wöchentlich aktualisiert.
etw. einplanen (plant ein, plante ein, hat eingeplant);einplanen;to schedule, to plan for;планувати, передбачати;Wir müssen genug Zeit für das Testing einplanen.
die Einweisung, -en;die Einweisung;instruction, briefing;інструктаж, введення в курс справи;Am ersten Tag bekommst du eine Einweisung in unsere Server-Struktur.
sich erinnern an (+ Akk.) (erinnert sich, erinnerte sich, hat sich erinnert);sich erinnern an;to remember;пам'ятати про, згадувати;Ich kann mich nicht an das Admin-Passwort erinnern.
die Hausordnung, -en;die Hausordnung;house rules;правила внутрішнього розпорядку;Laut Hausordnung darf man keine privaten USB-Sticks verwenden.
der Haustechniker, - / die Haustechnikerin, -nen;der Haustechniker;building technician, maintenance worker;технік будівлі, завгосп;Der Haustechniker repariert die Klimaanlage im Serverraum.
der Lieferant, -en / die Lieferantin, -nen;der Lieferant;supplier;постачальник;Der Lieferant bringt morgen die neuen Monitore.
der Medikamentenschrank, "-e;der Medikamentenschrank;medicine cabinet;аптечка (шафка для ліків);Pflaster für kleine Verletzungen findest du im Medikamentenschrank.
der Mitarbeiterausweis, -e;der Mitarbeiterausweis;employee ID card;перепустка, посвідчення працівника;Du brauchst deinen Mitarbeiterausweis, um das Büro zu betreten.
die Pausenregelung, -en;die Pausenregelung;break regulation;правила щодо перерв;Die Pausenregelung ist bei uns sehr flexibel.
die Personalabteilung, -en;die Personalabteilung;HR department;відділ кадрів (HR);Bitte sende deine Krankmeldung an die Personalabteilung.
die Pflegedienstleitung, -en;die Pflegedienstleitung;nursing management;керівництво служби догляду;Wir programmieren ein Verwaltungstool für die Pflegedienstleitung.
der Stationsleiter, - / die Stationsleiterin, -nen;der Stationsleiter;ward manager (hospital);завідувач відділення (в лікарні);Der Stationsleiter nutzt unser neues digitales Patienten-System.
das Unfallrisiko, -risiken;das Unfallrisiko;accident risk;ризик нещасного випадку;Lose Kabel auf dem Boden erhöhen das Unfallrisiko im Büro.
die Unterweisung, -en;die Unterweisung;instruction, training;інструктаж, навчання;Jedes Jahr gibt es eine Pflicht-Unterweisung zum Thema Datenschutz.
das Verbandmaterial, -ien;das Verbandmaterial;bandage material, dressings;перев'язувальний матеріал;Das Verbandmaterial liegt im Erste-Hilfe-Kasten in der Küche.
die Willkommensmappe, -n;die Willkommensmappe;welcome folder;вітальна папка (для нових співробітників);In der Willkommensmappe stehen alle wichtigen Infos zum Onboarding.
sich zurechtfinden (findet zurecht, fand zurecht, hat zurechtgefunden);sich zurechtfinden;to find one's way around, to orient oneself;орієнтуватися, розібратися;Es dauert etwas, bis man sich in der großen Codebase zurechtfindet.
die Abschiedsfeier, -n;die Abschiedsfeier;farewell party;прощальна вечірка;Wir machen eine kleine Abschiedsfeier für den Kollegen, der die Firma verlässt.
der Alarm, -e;der Alarm;alarm;сигналізація, тривога;Das Monitoring-System schlägt Alarm, wenn die CPU überhitzt.
der Anlass, "-e;der Anlass;occasion, reason;привід, нагода;Das erfolgreiche Release ist ein guter Anlass für eine Pizza-Party.
das Antragsformular, -e;das Antragsformular;application form;бланк заяви;Du musst ein Antragsformular ausfüllen, um einen zweiten Monitor zu bekommen.
etw. aufladen (lädt auf, lud auf, hat aufgeladen);aufladen;to charge, to top up;заряджати, поповнювати;Ich muss den Akku meines Firmenlaptops aufladen.
etw. aushängen (hängt aus, hing aus, hat ausgehangen);aushängen;to post (a notice);вивішувати (оголошення);Der neue Dienstplan wird am schwarzen Brett aushängen.
etw. ausstellen (z. B. einen Parkausweis) (stellt aus, stellte aus, hat ausgestellt);ausstellen;to issue (e.g., a parking permit);виписувати, видавати (документ);Der Empfang wird dir einen Besucherausweis ausstellen.
etw. beantragen (z. B. einen Zuschuss) (beantragt, beantragte, hat beantragt);beantragen;to apply for, to request;подавати заяву на, запитувати;Ich möchte Homeoffice-Tage für nächste Woche beantragen.
betrieblich;betrieblich;operational, company-related;виробничий, службовий, корпоративний;Private Nutzung des Firmenlaptops ist aus betrieblichen Gründen verboten.
der Betriebsausflug, "-e;der Betriebsausflug;company outing;корпоративна поїздка / екскурсія;Nächsten Monat machen wir einen Betriebsausflug in die Berge.
die Betriebsrente, -n;die Betriebsrente;company pension;корпоративна пенсія;Das IT-Unternehmen bietet als Bonus eine gute Betriebsrente an.
die Betriebsversammlung, -en;die Betriebsversammlung;staff meeting, company assembly;загальні збори працівників;Auf der Betriebsversammlung präsentiert der CEO die neuen Ziele.
die Betriebszugehörigkeit (Sg.);die Betriebszugehörigkeit;length of service with a company;стаж роботи на підприємстві;Nach fünf Jahren Betriebszugehörigkeit bekommt man mehr Urlaubstage.
der Betroffene, -n / die Betroffene, -n;der Betroffene;person affected, person concerned;зацікавлена особа, постраждалий;Bei einem Datenleck müssen alle Betroffenen sofort informiert werden.
etw. bezuschussen (bezuschusst, bezuschusste, hat bezuschusst);bezuschussen;to subsidize;субсидіювати, доплачувати;Die firma wird mein Ticket für die öffentlichen Verkehrsmittel bezuschussen.
der Brandfall, "-e;der Brandfall;in case of fire;випадок пожежі;Im Brandfall dürfen die Aufzüge nicht benutzt werden.
die Dienstreise, -n;die Dienstreise;business trip;відрядження;Ich muss nächste Woche auf Dienstreise zum Kunden nach Berlin.
